name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,length1,length2,minleft1,maxright1,minleft2,maxright2,relmean1,relmean2,relmin1,relmin2,relmax1,relmax2
hfq,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,5793,1,0.0,0.0,3,+,4400273,4400308,2167157,2167191,+,35,35,4400226,4400655,2167112,2167201,0.0655,0.5018,0.0,0.0,1.0,1.0
glmU,CDS,NC_000913.3,glmZ,ncRNA,NC_000913.3,5571,2,0.0,0.0,3,-,3913719,3913756,3986572,3986602,+,38,30,3913650,3914975,3986428,3986621,1.0,0.8239,1.0,0.0,0.1642,1.0
pgsA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,5350,1,0.0,0.0,3,-,1991893,1991931,507239,507270,+,38,32,1991607,1992828,507201,507288,1.0,0.4248,1.0,0.0,0.0,1.0
gcvB,ncRNA,NC_000913.3,eptB,CDS,NC_000913.3,4400,8,1.3267543149460031e-272,2.8425661319736353e-269,3,+,2942740,2942774,3707719,3707751,-,34,32,2942693,2942894,3707688,3710484,0.3828,1.0,0.0,1.0,0.9706,0.0
cpoB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,4199,1,0.0,0.0,3,+,780591,780622,507239,507270,+,31,32,779586,780633,507202,507291,1.0,0.4248,0.0,0.0,1.0,1.0
chiP,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,4122,1,0.0,0.0,3,+,708279,708310,507248,507281,+,32,34,708071,709527,507202,507289,0.0,0.5335,0.0,0.0,0.8485,1.0
chbB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,4020,6,0.0,0.0,3,-,1821269,1821298,507247,507281,+,29,34,1821201,1821620,507202,507289,1.0,0.5276,1.0,0.0,0.0,1.0
frvR,CDS,NC_000913.3,arrS,ncRNA,NC_000913.3,3870,1,0.0,0.0,3,-,4085864,4085900,3657988,3658022,-,37,35,4085818,4085970,3657982,3658053,1.0,0.963,1.0,1.0,1.0,0.0147
ubiX,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,3780,7,0.0,0.0,3,-,2427835,2427871,2942791,2942825,+,36,34,2427773,2428318,2942694,2942902,1.0,0.4672,1.0,0.0,0.5413,1.0
miaA,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,3779,2,0.0,0.0,3,+,4400117,4400154,2167159,2167193,+,37,35,4399247,4400265,2167112,2167202,0.9503,0.5305,0.0,0.0,1.0,1.0
pheT,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,3680,12,0.0,0.0,3,-,1795578,1795613,4106346,4106381,+,35,35,1795537,1797832,4106327,4106389,0.9762,0.293,1.0,0.0,0.0469,1.0
hupB,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,3624,12,0.0,0.0,3,+,461458,461492,4106347,4106381,+,34,34,461328,461822,4106327,4106389,0.1525,0.3155,0.0,0.0,1.0,1.0
sstT,CDS,NC_000913.3,gltI,CDS,NC_000913.3,3588,1,5.4134864914536e-311,1.244019195736042e-307,3,+,3239888,3239925,686713,686744,-,37,32,3239861,3241183,686681,687699,0.0,1.0,0.0,1.0,0.996,0.0529
ymgC,CDS,NC_000913.3,rprA,ncRNA,NC_000913.3,3474,6,0.0,0.0,3,+,1216684,1216714,1770436,1770469,+,31,33,1216671,1216723,1770390,1770478,0.0,0.6243,0.0,0.1731,0.0,1.0
tufB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,3425,0,0.0,0.0,3,+,4175799,4175836,507239,507271,+,38,32,4175706,4177232,507203,507288,0.0,0.426,0.0,0.0,1.0,1.0
ssrS,ncRNA,NC_000913.3,chiX,ncRNA,NC_000913.3,3388,0,0.0,0.0,3,+,3056008,3056044,507240,507272,+,37,33,3055980,3056168,507202,507288,0.3382,0.4416,0.0,0.0,1.0,1.0
rmf,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,3363,22,2.3826381772606577e-54,1.1953125244485545e-51,3,+,1015776,1015810,2942847,2942879,+,35,33,1015658,1016100,2942694,2942903,0.5736,0.7409,0.0,0.0,1.0,1.0
proA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,3021,0,0.0,0.0,3,+,262888,262925,507239,507271,+,38,32,261675,262948,507203,507288,1.0,0.4253,0.1373,0.0,1.0,1.0
fdoG,CDS,NC_000913.3,sucD,CDS,NC_000913.3,2930,4,0.0,0.0,3,-,4085537,4085572,765097,765130,+,35,34,4082765,4085841,764228,765150,0.0819,1.0,1.0,0.0552,0.0,1.0
cstA,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,2862,19,0.0,0.0,3,+,629885,629922,3350659,3350693,+,37,35,629792,632101,3350593,3350699,0.0134,0.6862,0.0,0.1333,1.0,1.0
ydcH,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,2689,3,6.5308742252682025e-21,1.282553874733718e-18,3,+,1498821,1498850,507245,507278,+,30,33,1498607,1498913,507201,507291,0.8926,0.4989,0.0,0.0,1.0,1.0
yncL,CDS,NC_000913.3,mcaS,ncRNA,NC_000913.3,2637,5,0.0,0.0,3,-,1517069,1517102,1405664,1405697,-,33,34,1517037,1517212,1405656,1405751,0.9679,0.9428,1.0,1.0,0.0,0.0
glpK,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,2593,9,0.0,0.0,3,-,4116353,4116389,4106346,4106380,+,36,34,4115583,4117238,4106328,4106389,0.5522,0.2879,1.0,0.0,0.0,1.0
yebO,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,2550,2,0.0,0.0,3,-,1908369,1908405,2167160,2167195,+,36,35,1907573,1908568,2167111,2167201,0.4965,0.5449,1.0,0.0,0.0,1.0
aslB,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,2451,0,1.3039900239963936e-185,2.0304621055618598e-182,3,+,3982767,3982803,507238,507270,+,37,32,3982696,3982844,507203,507288,0.0,0.4213,0.0,0.0,0.0,1.0
glpD,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,2447,2,0.0,0.0,3,+,3562148,3562184,2167159,2167193,+,36,35,3561979,3563746,2167112,2167201,0.1137,0.525,0.0,0.0,1.0,1.0
tnaC,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,2348,7,0.0,0.0,3,+,3888499,3888530,3350655,3350688,+,32,33,3888410,3888631,3350639,3350698,1.0,0.6509,0.0,0.5167,1.0,1.0
oppA,CDS,NC_000913.3,micF,ncRNA,NC_000913.3,2334,0,0.0,0.0,3,+,1301024,1301061,2313120,2313154,+,38,34,1300896,1302749,2313082,2313187,0.0,0.4022,0.0,0.0,0.9608,1.0
yjdC,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,2320,0,0.0,0.0,3,-,4362565,4362592,507237,507268,+,28,31,4362546,4363331,507203,507288,1.0,0.4081,1.0,0.0,0.0,1.0
rcsC,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,2268,5,3.759244650267914e-5,0.0015994329544491762,3,-,2312883,2312918,507245,507278,+,35,34,2312731,2319858,507201,507288,1.0,0.4967,1.0,0.0,0.0063,1.0
ompC,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,2041,1,4.791072288846324e-129,5.3121619877483955e-126,3,-,2312298,2312336,3350657,3350691,+,38,34,2311617,2312769,3350575,3350699,0.3743,0.6715,1.0,0.0,0.0,1.0
glpK,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,2029,7,5.7276433232642976e-31,1.672237110912713e-28,3,-,4117018,4117051,3350656,3350689,+,34,34,4115651,4117249,3350576,3350698,0.1132,0.662,1.0,0.0,0.0,1.0
yncL,CDS,NC_000913.3,rprA,ncRNA,NC_000913.3,2019,2,0.0,0.0,3,-,1517063,1517096,1770432,1770466,+,33,34,1517036,1517213,1770388,1770478,1.0,0.5839,1.0,0.1538,0.0,1.0
lpp,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1980,7,5.365156002322936e-249,1.0400081178053912e-245,3,+,1757466,1757499,2167155,2167188,+,34,34,1757302,1757694,2167112,2167201,0.3325,0.48,0.0,0.0,1.0,1.0
micA,ncRNA,NC_000913.3,hupB,CDS,NC_000913.3,1942,1,0.0,0.0,3,+,2814808,2814843,461558,461590,+,35,33,2814799,2814877,461331,461785,0.5792,0.3949,0.0,0.0,1.0,1.0
pck,CDS,NC_000913.3,micA,ncRNA,NC_000913.3,1829,3,0.0,0.0,3,+,3532804,3532835,2814836,2814870,+,32,35,3532681,3533628,2814800,2814880,0.0109,0.4843,0.0,0.0,0.4994,1.0
ydcH,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1761,2,3.766131317281771e-266,7.94938260090426e-263,3,+,1498773,1498808,2167157,2167191,+,35,34,1498612,1498908,2167111,2167201,0.702,0.5072,0.0,0.0,1.0,1.0
yhjX,CDS,NC_000913.3,mgrR,ncRNA,NC_000913.3,1746,2,0.0,0.0,3,-,3710497,3710533,1622826,1622859,-,36,34,3710459,3710584,1622815,1622916,1.0,0.9062,1.0,1.0,1.0,0.0
infA,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,1680,4,0.0,0.0,3,-,922593,922629,4106343,4106377,+,36,34,922572,926386,4106328,4106389,1.0,0.2389,1.0,0.0,0.2615,1.0
aceA,CDS,NC_000913.3,aceK,CDS,NC_000913.3,1653,6,1.1489010834541e-179,1.705112820481316e-176,3,+,4217429,4217464,4218965,4218998,+,35,34,4217076,4218511,4218488,4220419,0.2724,0.213,0.0,0.0,1.0,1.0
sucD,CDS,NC_000913.3,fdoG,CDS,NC_000913.3,1650,1,0.0,0.0,3,+,765069,765106,4085709,4085742,-,37,34,764387,765147,4083067,4085841,1.0,0.037,0.2382,0.9033,1.0,0.0
msrC,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1631,0,0.0,0.0,3,-,1915542,1915576,507246,507280,+,35,34,1915516,1916112,507202,507290,1.0,0.5137,1.0,0.0,0.0322,1.0
ssrA,ncRNA,NC_000913.3,chiX,ncRNA,NC_000913.3,1607,0,1.6768948797674337e-16,2.6414292414565495e-14,3,+,2755766,2755800,507240,507271,+,35,32,2755591,2755958,507202,507288,0.5742,0.4342,0.0,0.0,1.0,1.0
secG,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1606,0,4.0439008406674107e-224,7.157252374843851e-221,3,-,3322082,3322116,507240,507272,+,35,32,3322066,3322494,507202,507288,1.0,0.438,1.0,0.0,0.0331,1.0
hchA,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,1579,5,0.0,0.0,3,+,2035665,2035702,3350658,3350692,+,37,35,2035628,2036757,3350640,3350698,0.0,0.6783,0.0,0.525,1.0,1.0
ypfM,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,1560,2,0.0,0.0,3,-,2590815,2590847,3350655,3350688,+,33,33,2585525,2590886,3350636,3350698,0.3186,0.6559,1.0,0.4917,0.0,1.0
sucD,CDS,NC_000913.3,frvR,CDS,NC_000913.3,1506,0,8.104466005608765e-279,1.7764490747924837e-275,3,+,765069,765106,4085834,4085865,-,37,32,764831,765148,4085806,4085964,1.0,1.0,0.7491,1.0,1.0,1.0
trmJ,CDS,NC_000913.3,fnrS,ncRNA,NC_000913.3,1490,0,0.0,0.0,3,-,2662162,2662198,1409189,1409223,+,36,34,2662115,2663342,1409127,1409250,1.0,0.5155,1.0,0.0,0.0,1.0
purU,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1446,0,4.962124169061371e-16,7.651337696008526e-14,3,-,1287406,1287440,507240,507272,+,34,32,1287241,1288665,507203,507289,1.0,0.4446,1.0,0.0,0.0,1.0
yqgA,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1401,0,1.4535878548149853e-131,1.6502102247220705e-128,3,+,3110405,3110431,507239,507272,+,27,33,3109504,3110445,507202,507289,1.0,0.4313,0.0,0.0,1.0,1.0
yjbJ,CDS,NC_000913.3,micF,ncRNA,NC_000913.3,1396,1,0.0,0.0,3,+,4259274,4259311,2313131,2313165,+,37,34,4259179,4259542,2313085,2313177,0.3572,0.5149,0.0,0.0109,1.0,1.0
ompF,CDS,NC_000913.3,micF,ncRNA,NC_000913.3,1388,1,0.0,0.0,3,-,986798,986834,2313135,2313169,+,37,34,985868,986998,2313083,2313178,0.1351,0.5582,1.0,0.0,0.0,1.0
gcvB,ncRNA,NC_000913.3,thrL,CDS,NC_000913.3,1374,3,0.0,0.0,3,+,2942792,2942825,185,217,+,33,32,2942695,2942897,43,306,0.6331,0.0,0.0,0.0,0.9853,1.0
ryfD,ncRNA,NC_000913.3,chiX,ncRNA,NC_000913.3,1368,7,2.606455032717028e-18,4.458070675166762e-16,3,-,2734187,2734222,507240,507272,+,36,32,2734147,2734295,507199,507288,0.5092,0.4411,1.0,0.0,0.0,1.0
ydhR,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1360,0,1.1331924840142408e-210,1.899443910028388e-207,3,+,1746553,1746584,507239,507271,+,31,32,1746473,1746984,507203,507288,0.0,0.4329,0.0,0.0,0.9311,1.0
yejM,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1329,1,4.516147163875251e-102,4.164676914694436e-99,3,+,2286199,2286235,507240,507272,+,36,32,2284355,2286306,507203,507289,1.0,0.4359,0.0,0.0,1.0,1.0
fabG,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1327,2,1.7603924263697124e-127,1.9219438416816183e-124,3,+,1150738,1150770,507243,507275,+,33,32,1150647,1151521,507203,507288,0.1365,0.4775,0.0,0.0,1.0,1.0
csrB,ncRNA,NC_000913.3,cpxQ,ncRNA,NC_000913.3,1323,0,8.90274155655489e-297,2.0133762000185946e-293,3,-,2924299,2924337,4106348,4106381,+,38,34,2924197,2924526,4106329,4106389,0.5067,0.3241,0.8886,0.0,0.0,1.0
csrB,ncRNA,NC_000913.3,cyaR,ncRNA,NC_000913.3,1319,0,1.780733051990321e-50,8.428960874264883e-48,3,-,2924278,2924316,2167161,2167195,+,38,34,2924162,2924526,2167113,2167202,0.565,0.5526,0.9837,0.0,0.0,1.0
rmf,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,1252,2,7.253542792587151e-6,0.0003819072567218143,3,+,1015769,1015805,4106348,4106381,+,36,33,1015650,1016074,4106327,4106389,0.5401,0.3278,0.0,0.0,1.0,1.0
dppA,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,1239,1,2.104151116950758e-27,5.4211760314408e-25,3,-,3707469,3707504,2942783,2942814,+,35,32,3706087,3707726,2942692,2942902,0.1249,0.427,1.0,0.0,0.0,1.0
ompA,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1237,2,8.014239796313165e-172,1.1418368292195145e-168,3,-,1019899,1019935,2167155,2167188,+,37,34,1018287,1020073,2167113,2167201,0.1126,0.482,1.0,0.0,0.0,1.0
gatB,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,1235,4,0.0,0.0,3,-,2174328,2174361,4106347,4106381,+,34,34,2174262,2174599,4106327,4106389,0.7191,0.3057,1.0,0.0,0.0,1.0
uspE,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1226,1,0.0,0.0,3,-,1397885,1397922,2167160,2167194,+,37,35,1397639,1398621,2167111,2167201,0.7364,0.5358,1.0,0.0,0.0011,1.0
cstA,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1203,1,2.76019073762442e-26,6.786211139495719e-24,3,+,631653,631688,2167157,2167191,+,36,34,629857,632106,2167113,2167202,0.8524,0.503,0.0,0.0,1.0,1.0
rplK,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1198,0,3.3916433096507196e-282,7.550433940403061e-279,3,+,4178432,4178463,507241,507273,+,32,32,4178353,4178868,507202,507288,0.0377,0.4553,0.0,0.0,0.9836,1.0
opgC,CDS,NC_000913.3,mcaS,ncRNA,NC_000913.3,1181,8,0.0,0.0,3,-,1103242,1103273,1405666,1405699,-,32,33,1103183,1103363,1405656,1405752,1.0,0.9165,1.0,1.0,1.0,0.0
nhaA,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1167,6,0.0,0.0,3,+,18508,18542,2167156,2167190,+,35,34,17454,18697,2167113,2167201,0.9037,0.4974,0.0,0.0,1.0,1.0
glpT,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,1166,2,5.171802880059021e-245,9.75970578992436e-242,3,-,2351767,2351802,4106347,4106381,+,36,35,2350997,2352386,4106328,4106389,0.4207,0.299,1.0,0.0,0.0,1.0
mqsR,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,1162,2,0.0,0.0,3,-,3168349,3168386,3350656,3350690,+,37,34,3168230,3168564,3350640,3350698,0.5329,0.6642,1.0,0.525,0.0,1.0
yifK,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1161,0,1.0672684732266745e-82,7.858405322555229e-80,3,+,3982388,3982421,507240,507272,+,33,33,3980828,3982494,507203,507289,1.0,0.4341,0.0,0.0,1.0,1.0
ftsI,CDS,NC_000913.3,chiX,ncRNA,NC_000913.3,1157,2,4.309522474472993e-33,1.3479770012579895e-30,3,+,92499,92533,507238,507270,+,34,32,91393,93174,507202,507289,0.6343,0.4143,0.0,0.0,0.9972,1.0
glpT,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1115,1,2.1379017189815694e-28,5.661704187985466e-26,3,-,2351821,2351856,2167157,2167191,+,35,34,2350996,2352382,2167113,2167201,0.3814,0.5054,1.0,0.0,0.0,1.0
mcaS,ncRNA,NC_000913.3,yncL,CDS,NC_000913.3,1065,2,0.0,0.0,3,-,1405688,1405724,1517057,1517089,-,36,33,1405658,1405753,1517036,1517210,0.2914,1.0,1.0,1.0,0.0,0.0
hflX,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1065,2,1.5838109128661675e-193,2.535449928331686e-190,3,+,4400735,4400770,2167159,2167193,+,35,35,4400614,4402006,2167112,2167201,0.0766,0.5251,0.0,0.0,1.0,1.0
yfdY,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,1061,0,0.0,0.0,3,-,2495039,2495074,2167158,2167192,+,36,35,2494902,2495283,2167113,2167201,0.8982,0.5126,1.0,0.0,0.0372,1.0
yagJ:yagU,IGR,NC_000913.3,chiX,ncRNA,NC_000913.3,1055,0,2.1812875225557896e-108,2.121372840024974e-105,3,+,297147,297182,507239,507271,+,36,32,292490,300720,507203,507288,0.4583,0.4314,0.0008,0.0,0.8031,1.0
fnrS,ncRNA,NC_000913.3,ytfK,CDS,NC_000913.3,974,6,1.8652140304171928e-68,1.1732813871864016e-65,3,+,1409174,1409205,4439756,4439786,+,32,31,1409127,1409250,4439513,4439892,0.65,0.8227,0.0,0.0,1.0,1.0
cspD,CDS,NC_000913.3,sdsR,ncRNA,NC_000913.3,963,5,0.0,0.0,3,-,922451,922485,1923119,1923152,-,34,34,922302,922610,1923102,1923197,0.4686,0.8508,1.0,1.0,0.0,0.0971
ffs,ncRNA,NC_000913.3,chiX,ncRNA,NC_000913.3,955,0,1.5312728642378805e-109,1.5046181558976295e-106,3,+,476490,476528,507240,507271,+,38,32,476447,476563,507203,507288,0.7112,0.438,0.0,0.0,1.0,1.0
cycA,CDS,NC_000913.3,gcvB,ncRNA,NC_000913.3,945,0,2.3258187937976948e-273,5.059135243742296e-270,3,+,4429826,4429863,2942815,2942848,+,37,33,4429766,4430798,2942694,2942902,0.0,0.5857,0.0,0.0,0.6615,1.0
cysB,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,935,0,0.0,0.0,3,+,1333813,1333846,4106347,4106381,+,33,34,1333760,1334865,4106328,4106388,0.0,0.3021,0.0,0.0,1.0,1.0
gpsA,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,925,0,0.0,0.0,3,-,3782670,3782706,3350656,3350690,+,37,34,3782545,3783645,3350627,3350698,0.9364,0.6656,1.0,0.4167,0.0157,1.0
smpB,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,913,2,0.0,0.0,3,+,2754920,2754955,2167153,2167187,+,36,34,2754831,2755560,2167113,2167201,0.1232,0.4647,0.0,0.0,1.0,1.0
micF,ncRNA,NC_000913.3,oppA,CDS,NC_000913.3,897,27,1.2371454336921099e-183,1.8851714739114123e-180,3,+,2313111,2313139,1301035,1301065,+,29,30,2313083,2313177,1300903,1302399,0.6066,0.0,0.0,0.0,1.0,0.7462
omrB,ncRNA,NC_000913.3,mcaS,ncRNA,NC_000913.3,895,1,1.2004189655015736e-173,1.74521318906941e-170,3,-,2976348,2976383,1405663,1405697,-,36,35,2976322,2976389,1405656,1405746,0.0159,0.9509,0.7778,1.0,0.0,0.0543
yqjA,CDS,NC_000913.3,arcZ,ncRNA,NC_000913.3,888,3,0.0,0.0,3,+,3247697,3247732,3350655,3350687,+,36,33,3247586,3248362,3350577,3350701,0.0,0.6544,0.0,0.0,0.8897,1.0
skp,CDS,NC_000913.3,cpxQ,ncRNA,NC_000913.3,887,5,0.0,0.0,3,+,200475,200510,4106347,4106381,+,35,34,200401,200915,4106328,4106388,0.0592,0.306,0.0,0.0,0.8928,1.0
lpp,CDS,NC_000913.3,micL,ncRNA,NC_000913.3,884,2,0.0,0.0,3,+,1757433,1757467,1958457,1958490,-,34,34,1757382,1757665,1958439,1958532,0.1988,0.791,0.0,1.0,1.0,0.0
micA,ncRNA,NC_000913.3,sulA,CDS,NC_000913.3,882,0,5.44910743202211e-167,7.501130729321566e-164,3,+,2814805,2814840,1020055,1020083,-,36,29,2814797,2814871,1020037,1020394,0.5424,1.0,0.0,1.0,0.9718,1.0
kgtP,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,867,4,3.857090571142358e-12,4.6102586930711295e-10,3,-,2724690,2724725,2167158,2167191,+,35,34,2718524,2725766,2167112,2167201,0.7865,0.5157,1.0,0.0,0.0,1.0
yhcO,CDS,NC_000913.3,cyaR,ncRNA,NC_000913.3,860,0,0.0,0.0,3,-,3384420,3384453,2167155,2167187,+,34,33,3384250,3386079,2167111,2167201,1.0,0.4775,1.0,0.0,0.1838,1.0
