name1,type1,ref1,name2,type2,ref2,nb_ints,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,meanlength1,meanlength2,minleft1,maxright1,minleft2,maxright2,nms1,nms2,meanmiss1,meanmiss2,relmean1,relmean2,relmin1,relmax1,relmin2,relmax2
VC1760,CDS,NC_002505,Vcr001,sRNA,NC_002505,1498,0,0,2,-,1899594,1899634,21905,21939,+,41,35,1897978,1901315,21898,21941,0.4146,0.1081,1.2904,0.1135,0.5405,0.9565,0.0417,1,0,1
VC2570,CDS,NC_002505,FarS,sRNA,NC_002505,1463,0.00168065397525E-307,1.96596859223664E-307,2,-,2751390,2751429,2266026,2266065,-,40,41,2751041,2751529,2266014,2266136,0.3049,0.0615,0.4436,0.0629,0.2789,0.589,0,1,0,1
VC0671,CDS,NC_002505,Vcr017,sRNA,NC_002505,1351,0,0,2,+,717444,717483,350277,350315,-,40,39,717123,717658,350273,350367,0.5033,0.0511,0.6114,0.0585,0.6934,0.9738,0.074,0.9948,0,1
VcdRP,sRNA,NC_002505,Vcr034,sRNA,NC_002505,1318,0,0,2,-,2433501,2433546,756018,756040,-,46,22,2433403,2433604,756015,756046,0.5607,0.025,2.6866,0.025,0.6254,0.8519,0.2885,0.9475,0.8082,1
FarS,sRNA,NC_002505,VCA1072,CDS,NC_002506,1264,0,0,2,-,2266088,2266130,1022823,1022851,-,44,30,2266017,2266137,1022800,1023187,0.5862,0.1527,0.6978,0.1638,0.3966,0.9884,0,1,0.5072,1
VC2367,CDS,NC_002505,Vcr001,sRNA,NC_002505,1153,0,0,2,-,2523940,2523981,21905,21939,+,42,35,2523830,2524224,21896,21942,0.3946,0.1145,0.7216,0.124,0.771,0.9538,0.0287,1,0,1
Vcr036,sRNA,NC_002505,VrrA,sRNA,NC_002505,1135,0,0,2,-,840423,840455,1878764,1878807,+,34,44,840381,840479,1878682,1878824,0.3736,0.0581,0.43,0.0784,0.5193,0.8813,0,0.9677,0,1
VC2763,3UTR,NC_002505,Vcr017,sRNA,NC_002505,1134,0,0,2,-,2949593,2949630,350278,350313,-,38,36,2949551,2950035,350273,350361,0.3589,0.0697,0.448,0.1067,1,0.5853,0.1706,1,0.0652,1
VC2087,CDS,NC_002505,Vcr001,sRNA,NC_002505,1092,1.36857984997952E-20,1.39278083676948E-18,2,-,2248702,2248747,21904,21939,+,46,36,2246620,2249520,21897,21941,0.304,0.0778,0.4396,0.0842,0.2696,0.9418,0,1,0,1
VC2271,CDS,NC_002505,Vcr017,sRNA,NC_002505,1068,0,0,2,-,2425430,2425473,350279,350314,-,44,35,2425316,2426320,350274,350354,0.3109,0.0543,0.5075,0.0702,0.9013,0.5799,0.0943,1,0.1413,1
VC1558,CDS,NC_002505,Vssrna24,sRNA,NC_002505,994,0,0,2,-,1670551,1670587,106499,106536,+,37,38,1669423,1670678,106480,106539,0.4044,0.0372,0.6278,0.0402,0.0537,0.9894,0,0.8391,0,1
VCA0460:VCA0463,IGR,NC_002506,VqmR,sRNA,NC_002506,976,0,0,2,+,410779,410810,1031538,1031579,+,32,42,410685,412108,1031475,1031589,0.209,0.0635,0.2357,0.0799,0.0808,0.6672,0,0.9549,0.2467,1
VCA0545,CDS,NC_002506,Vssrna24,sRNA,NC_002505,931,1.57264391836458E-116,7.65076568677656E-114,2,+,482873,482907,106500,106536,+,35,38,481904,483963,106480,106549,0.3287,0.0344,0.3792,0.0419,0.533,0.3388,0,1,0,1
VC0533,CDS,NC_002505,Qrr3,sRNA,NC_002506,928,0,0,2,+,564480,564517,772304,772339,+,37,36,564259,564642,772266,772369,0.3071,0.0636,0.4181,0.0765,0.8489,0.4295,0.5733,0.9829,0.0748,1
VC2467,CDS,NC_002505,Vcr001,sRNA,NC_002505,926,0,0,2,-,2649699,2649737,21904,21939,+,38,36,2649179,2649839,21895,21941,0.3704,0.0335,0.4384,0.0378,0.0818,0.9497,0,0.9913,0,1
VC0244,CDS,NC_002505,VqmR,sRNA,NC_002506,926,0,0,2,+,250861,250901,1031527,1031567,+,41,41,250430,251561,1031439,1031589,0.3348,0.0832,0.4536,0.1166,0.4044,0.5936,0,1,0.0067,1
VCA0919,CDS,NC_002506,Vcr017,sRNA,NC_002505,918,0.00020272568747E-307,0.24259274249376E-307,2,+,871335,871375,350288,350324,-,41,37,871210,871711,350274,350369,0.2331,0.0752,0.3224,0.1089,0.1759,0.8585,0,1,0,1
VC1492,CDS,NC_002505,Vcr001,sRNA,NC_002505,903,1.03941865758451E-211,8.52069582854063E-209,2,-,1600880,1600925,21904,21939,+,46,36,1597534,1602492,21899,21941,0.32,0.1107,0.4197,0.1174,0.3186,0.9514,0,1,0,1
VC2095,CDS,NC_002505,Vcr017,sRNA,NC_002505,864,0,0,2,-,2257743,2257779,350284,350320,-,38,37,2256159,2257863,350274,350367,0.2535,0.0637,0.3403,0.0903,0.0348,0.5145,0,0.997,0,1
VC2140,CDS,NC_002505,Vcr001,sRNA,NC_002505,856,0,0,2,-,2294879,2294928,21904,21939,+,50,35,2293823,2295768,21895,21941,0.3411,0.0689,0.4533,0.0724,0.4293,0.9461,0,0.9575,0,1
FarS,sRNA,NC_002505,VC2570,CDS,NC_002505,849,1.07962800972855E-41,2.10485004615785E-39,2,-,2266098,2266131,2751368,2751408,-,34,41,2266017,2266137,2751167,2751519,0.5713,0.0648,0.6337,0.106,0.3039,0.2319,0,1,0,0.8575
VC0243,CDS,NC_002505,Vcr001,sRNA,NC_002505,836,1.7319019297121E-72,5.63458056251241E-70,2,+,249897,249935,21904,21939,+,39,36,249328,250465,21895,21941,0.3146,0.067,0.4258,0.0754,0.546,0.0782,0.0045,1,0,1
VC0533,CDS,NC_002505,Vcr043,sRNA,NC_002505,816,0,0,2,+,564504,564543,1114666,1114702,+,40,38,563798,564713,1114591,1114749,0.375,0.0772,0.5625,0.0931,0.877,0.4755,0.0802,1,0.0063,1
VC2348,3UTR,NC_002505,Vcr017,sRNA,NC_002505,815,0,0,2,-,2504395,2504437,350278,350312,-,43,35,2504339,2504898,350274,350369,0.2908,0.1301,0.4098,0.1411,1,0.5955,0.591,1,0,1
Vcr229,sRNA,NC_002506,CarZ,sRNA,NC_002505,789,9.25662156350122E-213,7.77175495447217E-210,2,+,897578,897620,2553980,2554012,-,42,33,897526,897746,2553977,2554045,0.3866,0.1103,0.5006,0.1293,0.4666,0.9687,0,1,0,1
VC0137:VC0142,IGR,NC_002505,Vssrna24,sRNA,NC_002505,773,0.00000000000755E-307,0.0000000093537E-307,2,+,132664,132703,106501,106537,+,40,36,132620,133903,106481,106539,0.3131,0.0479,0.7128,0.0505,0.0505,0.3577,0,0.9694,0,1
VC0553,CDS,NC_002505,Vcr017,sRNA,NC_002505,751,0,0,2,+,587049,587086,350283,350317,-,38,36,586670,587132,350274,350371,0.2876,0.0519,0.3582,0.0639,0.9537,0.9167,0.0521,1,0,1
MicX,sRNA,NC_002506,VCA0689,CDS,NC_002506,748,5.68008039491191E-305,6.42769010689004E-302,2,-,893395,893434,627695,627730,-,40,36,893332,893517,627687,627869,0.3877,0.0722,0.5548,0.0762,0.6433,0.9918,0.2886,0.828,0.5908,1
VCA0156,CDS,NC_002506,Vcr017,sRNA,NC_002505,746,0,0,2,-,172653,172693,350284,350318,-,41,36,172592,172969,350273,350369,0.2748,0.063,0.3619,0.0791,0.876,0.5305,0,1,0,1
VC0298,CDS,NC_002505,Vcr001,sRNA,NC_002505,744,0.0000000000019E-307,0.00000000237848E-307,2,-,306777,306816,21904,21939,+,40,36,305094,307145,21898,21941,0.3239,0.0887,0.414,0.0968,0.1501,0.9617,0,1,0,1
VC0604,CDS,NC_002505,Vcr001,sRNA,NC_002505,744,3.80211405968866E-87,1.48809884451176E-84,2,+,634007,634048,21905,21939,+,41,35,633740,636395,21897,21941,0.3616,0.1304,0.5618,0.1425,0.0607,0.0933,0,0.9646,0,1
VC0655,CDS,NC_002505,Vcr017,sRNA,NC_002505,737,0,0,2,+,700318,700361,350284,350319,-,44,36,700188,700709,350273,350369,0.3528,0.0611,0.6581,0.0773,0.464,0.9011,0.1506,1,0,1
VC2677,CDS,NC_002505,Vcr001,sRNA,NC_002505,736,5.13686428686885E-272,5.45707963307785E-269,2,-,2844586,2844627,21904,21939,+,42,36,2843955,2845205,21896,21941,0.3438,0.1182,0.5136,0.1359,0.4556,0.9504,0,1,0,1
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,735,0,0,2,-,786621,786662,1114690,1114726,+,42,37,786549,787132,1114601,1114750,0.3197,0.0844,0.4367,0.0925,1,0.8561,0.252,1,0.0692,1
MicX,sRNA,NC_002506,Vcr214,sRNA,NC_002505,731,4.07425226626731E-63,1.17497598113247E-60,2,-,893374,893413,2376103,2376139,+,40,37,893286,893520,2376036,2376145,0.301,0.0492,0.394,0.0506,0.7048,0.9701,0.2799,0.9621,0.0702,1
VC0112,CDS,NC_002505,Vcr001,sRNA,NC_002505,728,0,0,2,+,107456,107498,21904,21939,+,42,36,107381,108083,21898,21941,0.2788,0.0975,0.4066,0.1058,0.132,0.0822,0,1,0,1
CsrB,sRNA,NC_002505,VrrA,sRNA,NC_002505,704,0,0,2,-,196830,196873,1878771,1878806,+,44,36,196527,196938,1878681,1878824,0.277,0.0483,0.4006,0.0625,0.246,0.8795,0,0.9806,0,1
Vcr067,sRNA,NC_002505,Vcr214,sRNA,NC_002505,675,0,0,2,+,1802053,1802093,2376100,2376136,+,41,37,1801888,1802123,2376040,2376143,0.3881,0.0341,0.4919,0.037,0.88,0.6308,0.0043,1,0.1053,1
Vcr017,sRNA,NC_002505,VC0247,CDS,NC_002505,675,7.12487991726721E-127,3.70882061653386E-124,2,-,350322,350361,254296,254335,+,40,40,350275,350369,253960,254462,0.4474,0.0489,0.5867,0.1007,0.4892,0.8392,0,1,0.3791,0.9951
VC2377,CDS,NC_002505,Vcr001,sRNA,NC_002505,670,7.59612487631896E-266,7.82995014602664E-263,2,+,2542188,2542230,21904,21939,+,43,35,2542108,2543511,21897,21941,0.4149,0.1373,1.2493,0.1463,0.068,0.0818,0,0.9731,0,1
CsrD,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,668,1.25125869520531E-74,4.17523370189519E-72,2,-,783987,784028,106499,106536,+,42,37,783804,784130,106480,106539,0.4027,0.0659,0.5165,0.0763,0.4099,0.9751,0,0.9366,0,1
VC1442,CDS,NC_002505,Vcr017,sRNA,NC_002505,659,1.54381349227088E-71,4.93021100818495E-69,2,-,1539282,1539323,350278,350313,-,42,36,1538169,1539698,350274,350364,0.3596,0.0561,0.5751,0.0622,0.1943,0.5842,0,0.9707,0.0326,1
VC1442,CDS,NC_002505,Vcr001,sRNA,NC_002505,659,7.60051185373328E-12,4.37172203635535E-10,2,-,1539465,1539504,21904,21939,+,40,36,1538174,1539698,21897,21948,0.2974,0.0607,0.4461,0.0698,0.0663,0.9447,0,0.9672,0,1
VC2669,CDS,NC_002505,Vcr017,sRNA,NC_002505,633,0,0,2,-,2836679,2836721,350278,350312,-,44,35,2836629,2837038,350272,350364,0.3712,0.0521,0.6856,0.0711,0.9462,0.5938,0,1,0.0326,1
Vcr017,sRNA,NC_002505,VCA0278,5UTR,NC_002506,628,1.04857064388538E-256,1.0298645392855E-253,2,-,350321,350360,297723,297761,-,39,38,350292,350369,296579,297828,0.3201,0.1099,0.4411,0.1306,0.4956,0,0,0.8152,0,0.7911
VC1146,CDS,NC_002505,OppZ,sRNA,NC_002505,595,0,0,2,-,1217475,1217499,1164279,1164324,+,25,45,1217472,1217531,1164273,1164327,0.1395,0.042,0.1412,0.0454,0.1306,0.9779,0,0.1407,0,1
VC1091,5UTR,NC_002505,Vcr220,sRNA,NC_002505,593,0,0,2,+,1158607,1158648,2653967,2654002,+,42,36,1158519,1160352,2653907,2654008,0.3541,0.2226,0.4621,0.2563,0,0.7048,0,1,0.2593,1
VC2482,CDS,NC_002505,Vcr001,sRNA,NC_002505,593,2.00516826558076E-287,2.22080918043986E-284,2,-,2661537,2661570,21904,21939,+,35,36,2661337,2661961,21894,21941,0.1973,0.0371,0.3153,0.0422,0.8471,0.947,0,1,0,1
VC0249,CDS,NC_002505,VqmR,sRNA,NC_002506,590,3.88395746115659E-204,3.0632949039663E-201,2,+,255696,255733,1031526,1031570,+,38,46,254739,256136,1031452,1031589,0.3983,0.0678,0.4847,0.0831,0.6922,0.5837,0,0.9774,0.0933,1
VC2258,CDS,NC_002505,Vcr017,sRNA,NC_002505,583,0,0,2,-,2413726,2413769,350280,350315,-,44,36,2413456,2414165,350274,350364,0.3465,0.0635,0.4751,0.0892,0.6881,0.568,0.0876,1,0.0326,1
Qrr2,sRNA,NC_002506,VC2647,5UTR,NC_002505,582,0,0,2,+,48450,48490,2821414,2821449,+,41,37,48447,48516,2821310,2821753,0.2784,0.0687,0.354,0.0808,0.6056,0,0.3494,0.7651,0,0.4675
VC0243,CDS,NC_002505,Vcr017,sRNA,NC_002505,573,5.49196747799914E-60,1.49676241404977E-57,2,+,250091,250131,350280,350315,-,41,36,249759,250467,350274,350370,0.3525,0.0628,0.452,0.0768,0.7208,0.9481,0.3889,1,0,1
VCA0446,CDS,NC_002506,Vcr001,sRNA,NC_002505,567,1.08582512652079E-211,8.83157563257446E-209,2,+,400149,400189,21904,21939,+,41,36,399862,400302,21896,21941,0.2963,0.0353,0.3739,0.0353,0.5239,0.0827,0,1,0,1
VC0036,5UTR,NC_002505,Vcr001,sRNA,NC_002505,565,1.43183914206318E-160,9.258841070873E-158,2,-,35752,35795,21904,21939,+,44,36,35355,35854,21894,21941,0.377,0.0566,0.4796,0.069,0,0.9514,0,0.2669,0,1
Vcr083,sRNA,NC_002505,Spot42,sRNA,NC_002505,565,0,0,2,+,2472442,2472483,106129,106167,+,42,39,2472404,2472511,106079,106185,0.5133,0.1239,1.1593,0.1363,0.4038,0.4886,0,0.5487,0.0275,1
VC1350:VC1354,IGR,NC_002505,Vcr001,sRNA,NC_002505,563,0,0,2,-,1441650,1441697,21905,21939,+,47,35,1441412,1441761,21899,21941,0.6448,0.1741,4.3499,0.1847,0.8801,0.9568,0.8467,0.9522,0,1
VC2647,5UTR,NC_002505,Qrr3,sRNA,NC_002506,562,0.00000000515865E-307,0.00000624490906E-307,2,+,2821343,2821384,772292,772328,+,42,37,2821313,2821963,772257,772367,0.3292,0.0498,0.4431,0.0676,0,0.3223,0,0.8571,0,1
VCA0892,3UTR,NC_002506,Vcr043,sRNA,NC_002505,550,0,0,2,-,844997,845025,1114639,1114709,+,28,71,844975,845102,1114605,1114749,0.1818,0.0309,0.2455,0.0364,1,0.7487,0.8794,1,0.0943,1
VC0247,CDS,NC_002505,Vcr017,sRNA,NC_002505,547,1.45608904957494E-67,4.47173967145124E-65,2,+,254262,254301,350286,350321,-,40,36,253700,254466,350274,350367,0.2761,0.0658,0.3638,0.0768,0.7976,0.885,0.0601,1,0,1
VC0403,CDS,NC_002505,Vcr001,sRNA,NC_002505,545,5.2946447825515E-174,3.69946425279633E-171,2,+,429906,429940,21904,21939,+,35,36,429406,430229,21897,21941,0.2477,0.0734,0.4294,0.0862,0.6502,0.0728,0.0178,0.9917,0,1
VC1620,CDS,NC_002505,Vcr017,sRNA,NC_002505,536,1.38572809247163E-163,9.07338150812131E-161,2,-,1737115,1737148,350280,350316,-,34,37,1732860,1741468,350274,350368,0.4776,0.0448,0.5522,0.0522,0.5019,0.5567,0,1,0,1
VC1532,CDS,NC_002505,Vssrna24,sRNA,NC_002505,503,1.15779779605458E-203,8.99531124995868E-201,2,-,1645563,1645606,106501,106537,+,44,37,1644691,1645644,106477,106538,0.2604,0.0457,0.3618,0.0457,0.0184,0.9932,0,0.9791,0,1
VC2529,CDS,NC_002505,Vcr001,sRNA,NC_002505,491,7.68711213169255E-147,4.52145512383265E-144,2,+,2712511,2712560,21904,21939,+,50,36,2711880,2713244,21898,21941,0.3177,0.0794,0.5866,0.0794,0.4443,0.0836,0,0.9118,0,1
Vcr103,sRNA,NC_002506,Qrr4,sRNA,NC_002506,483,0,0,2,-,776888,776921,908225,908259,-,33,36,776859,776969,908201,908297,0.3333,0.0642,0.3685,0.0849,0.5508,0.4457,0,0.7517,0.0857,1
VC2767,CDS,NC_002505,Vcr001,sRNA,NC_002505,473,6.98718902434951E-266,7.27429262136003E-263,2,-,2954054,2954096,21904,21939,+,43,36,2954017,2954583,21897,21941,0.3362,0.0423,0.5666,0.0444,0.9546,0.9432,0,1,0,1
Vcr017,sRNA,NC_002505,VCA0919,CDS,NC_002506,469,2.77382174701705E-49,6.31903300350542E-47,2,-,350322,350360,871389,871424,+,39,36,350275,350369,871281,871687,0.2751,0.1151,0.3561,0.1493,0.4852,0.3377,0,1,0,1
VCA0172,3UTR,NC_002506,Vcr214,sRNA,NC_002505,465,0,0,2,-,189223,189242,2376059,2376139,+,20,81,189212,189310,2376045,2376143,0.1699,0.0366,0.1699,0.0366,1,0.9772,0.9121,1,0.1491,1
VC0079,CDS,NC_002505,Vcr017,sRNA,NC_002505,463,1.40268745855627E-246,1.30386061270389E-243,2,+,77635,77676,350280,350316,-,42,37,77344,77798,350273,350365,0.2808,0.0713,0.3564,0.095,0.8446,0.9463,0,1,0.0217,1
VC2616,CDS,NC_002505,Vcr001,sRNA,NC_002505,459,3.69395627969962E-14,2.56553765392427E-12,2,-,2784118,2784154,21904,21939,+,36,36,2783814,2785385,21897,21941,0.2832,0.0871,0.342,0.0915,0.8516,0.9486,0,1,0,1
VCA0059,CDS,NC_002506,Vcr065,sRNA,NC_002505,454,0,0,2,-,66570,66609,1617207,1617242,+,40,36,66532,66769,1617176,1617255,0.3789,0.13,0.4956,0.2753,0.8233,0.9532,0.0202,0.9758,0.424,1
VC1722,CDS,NC_002505,VqmR,sRNA,NC_002506,450,0,0,2,+,1860970,1861002,1031536,1031575,+,33,40,1860873,1861441,1031474,1031589,0.3533,0.1133,0.4644,0.2067,0.1911,0.6539,0,0.9387,0.24,1
VCA0545,CDS,NC_002506,Vcr001,sRNA,NC_002505,446,2.06290042175531E-06,5.48293336759059E-05,2,+,482837,482879,21904,21939,+,43,36,481916,483984,21897,21941,0.3251,0.0493,0.4596,0.0583,0.517,0.0767,0,1,0,1
VC2087,CDS,NC_002505,VqmR,sRNA,NC_002506,445,5.00121782498667E-30,7.25169619138631E-28,2,-,2248978,2249019,1031526,1031564,+,42,39,2246617,2249521,1031438,1031589,0.3034,0.0719,0.382,0.0787,0.1716,0.8412,0,1,0,1
VC2089,CDS,NC_002505,Vcr001,sRNA,NC_002505,445,9.2333544814444E-63,2.6481413270212E-60,2,-,2251312,2251347,21904,21939,+,35,36,2250274,2252060,21897,21941,0.2607,0.0427,0.3056,0.0427,0.4119,0.9471,0,1,0,1
VC0533,CDS,NC_002505,Qrr1,sRNA,NC_002505,443,0,0,2,+,564467,564506,1089975,1090011,-,40,37,564288,564622,1089963,1090058,0.3544,0.088,0.4628,0.1016,0.8376,0.8823,0.6043,0.9615,0,1
VC1056,CDS,NC_002505,OppZ,sRNA,NC_002505,441,0,0,2,+,1125749,1125775,1164287,1164325,+,27,39,1125180,1125800,1164269,1164327,0.4807,0.1111,0.5079,0.1134,0.9838,0.2636,0,1,0,1
VC0341,3UTR,NC_002505,Vcr001,sRNA,NC_002505,441,2.21998590857384E-188,1.59393457210838E-185,2,+,361868,361901,21906,21939,+,34,34,361720,361937,21899,21941,0.1905,0.068,0.2245,0.0748,1,0.1145,1,1,0,1
VCA0325:VCA0328,IGR,NC_002506,Vcr017,sRNA,NC_002505,440,3.63138343235502E-209,2.88595189129045E-206,2,+,329519,329561,350277,350312,-,43,36,329432,329600,350273,350363,0.3,0.0568,0.4432,0.0705,0.7985,0.9802,0.2511,0.966,0.0435,1
VC2087,CDS,NC_002505,Spot42,sRNA,NC_002505,433,6.07082161369233E-204,4.75208396526237E-201,2,-,2249113,2249154,106136,106172,+,43,37,2246619,2249524,106078,106185,0.3349,0.1894,0.4804,0.2263,0.1237,0.879,0,1,0.0183,1
Vcr036,sRNA,NC_002505,GcvB,sRNA,NC_002505,432,0,0,2,-,840414,840450,954786,954826,-,37,41,840377,840479,954718,954904,0.3148,0.0671,0.3889,0.0903,0.6104,0.4719,0,1,0.0882,1
VC0611,5UTR,NC_002505,Vssrna24,sRNA,NC_002505,431,1.55994068437376E-224,1.38806721973904E-221,2,-,644243,644289,106501,106536,+,47,36,644214,644303,106480,106539,0.6705,0.0835,3.594,0.0905,0,0.9845,0,0.0085,0,1
VC2616,CDS,NC_002505,OppZ,sRNA,NC_002505,430,5.43598839433871E-30,7.86021271869734E-28,2,-,2783959,2784007,1164288,1164322,+,49,35,2783818,2785079,1164271,1164327,0.2628,0.1186,0.4395,0.1233,0.9607,0.9443,0.1922,1,0,1
