name	locus_tag	ko_category
VC0154	VC0154	KO-a7.a2.a7
b12 riboswitch	b12 riboswitch	None
VC0156	VC0156	KO-a7.a3.a1
VC0157	VC0157	KO-a4.a4.a1:KO-a7.a1.a4:KO-a7.a2.a9
VC0158	VC0158	KO-a1.a6.a6:KO-a7.a1.a7
VC0159	VC0159	None
VC0161	VC0161	KO-a7.a2.a1
VC0162	VC0162	KO-a1.a5.a5:KO-a1.a8.a5
VC0163	VC0163	KO-a8.a1.a8
VC0164	VC0164	KO-a6.b1.a1:KO-a6.b1.a3:KO-a7.a3.a1:KO-a7.a3.b8
VC0165	VC0165	KO-a6.b1.a1:KO-a6.b1.a3:KO-a7.a2.b4:KO-a7.a3.a1:KO-a7.a3.b8
VC0166	VC0166	KO-a6.b1.a1:KO-a7.a2.a1
VC0167	VC0167	KO-a7.a2.b5
VC0168	VC0168	None
VC0169	VC0169	None
VC0170	VC0170	KO-a4.a4.a1:KO-a7.a3.a1
VC0171	VC0171	KO-a4.a4.a1:KO-a7.a3.a1
VC0172	VC0172	KO-a4.a4.a1:KO-a7.a3.a1
VC0173	VC0173	KO-a4.a4.a1:KO-a7.a3.a1
VC0174	VC0174	None
VC0175	VC0175	None
VC0176	VC0176	None
VC0177	VC0177	None
VC0178	VC0178	KO-a8.a4.a2
VC0179	VC0179	None
VC0180	VC0180	None
VC0181	VC0181	None
VC0182	VC0182	None
VC0183	VC0183	None
VC0184	VC0184	None
VC0185	VC0185	None
VC0186	VC0186	KO-a1.a6.a7
VC0187	VC0187	KO-a7.a2.a6
VC0188	VC0188	KO-a7.a1.a4
uvrD	VC0190	KO-a2.a4.a3:KO-a2.a4.a4:KO-a7.a2.b5
VC0191	VC0191	None
VC0192	VC0192	None
VC0194	VC0194	KO-a1.a6.a2:KO-a1.a6.a5:KO-a1.a6.a7:KO-a7.a1.a4
VC0195	VC0195	KO-a7.a3.a1
VC0196	VC0196	KO-a2.a3.a7:KO-a7.a2.a3:KO-a7.a2.b5
VC0197	VC0197	None
VC0198	VC0198	None
VC0199	VC0199	KO-a3.a1.a1:KO-a7.a3.a1
VC0200	VC0200	KO-a7.a3.a1
VC0201	VC0201	KO-a3.a1.a1:KO-a7.a3.a1
VC0202	VC0202	KO-a3.a1.a1:KO-a7.a3.a1
VC0203	VC0203	KO-a3.a1.a1:KO-a7.a3.a1
VC0204	VC0204	KO-a7.a2.a1
VC0205	VC0205	None
murQ	VC0206	KO-a1.a1.a9
murP	VC0207	KO-a1.a1.a9:KO-a3.a1.a2:KO-a7.a3.a1
VC0208	VC0208	None
VC0209	VC0209	None
rph	VC0210	KO-a7.a2.a7
pyrE	VC0211	KO-a1.a4.a2
VC0212	VC0212	KO-a1.a7.b4:KO-a7.a1.a6
VC0213	VC0213	KO-a1.a7.b4:KO-a7.a1.a6
slmA	VC0214	KO-a7.a2.a1:KO-a7.a2.b4
VC0215	VC0215	KO-a1.a8.a5
VC0216	VC0216	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
radC	VC0217	KO-a8.a2.a4
rpmB	VC0218	KO-a2.a2.a1:KO-a7.a2.a5
rpmG	VC0219	KO-a2.a2.a1:KO-a7.a2.a5
VC0220	VC0220	None
VC0221	VC0221	KO-a2.a4.a2:KO-a7.a2.b5
coaD	VC0222	KO-a1.a8.a5
VC0223	VC0223	None
VC0224	VC0224	KO-a7.a1.a6
VC0225	VC0225	KO-a7.a1.a6
VC0227	VC0227	KO-a1.a7.b4:KO-a7.a1.a6
VC0228	VC0228	None
VC0229	VC0229	None
VC0230	VC0230	None
VC0231	VC0231	None
VC0232	VC0232	None
VC0233	VC0233	KO-a1.a7.b4:KO-a7.a1.a6
VC0234	VC0234	None
VC0235	VC0235	None
VC0236	VC0236	KO-a1.a7.b4:KO-a7.a1.a6
VC0237	VC0237	KO-a1.a7.b4:KO-a7.a1.a6
VC0238	VC0238	None
VC0239	VC0239	None
rfaD	VC0240	KO-a1.a7.b4:KO-a7.a1.a6
VC0241	VC0241	KO-a1.a1.a5:KO-a1.a1.a9:KO-a1.a7.b6
VC0242	VC0242	KO-a1.a1.a5:KO-a1.a1.a9:KO-a1.a7.b6
VC0243	VC0243	KO-a1.a1.a5:KO-a1.a1.a9:KO-a1.a7.b6
VC0244	VC0244	KO-a1.a1.a9:KO-a1.a7.b6:KO-a7.a1.b1
VC0245	VC0245	None
VC0246	VC0246	KO-a3.a1.a1:KO-a7.a3.a1
VC0247	VC0247	KO-a3.a1.a1:KO-a7.a3.a1
VC0248	VC0248	KO-a1.a3.a1:KO-a1.b0.c9
VC0249	VC0249	None
VC0250	VC0250	None
VC0251	VC0251	None
VC0252	VC0252	None
VC0254	VC0254	None
VC0255	VC0255	None
VC0256	VC0256	KO-a8.a2.a4
VC0257	VC0257	KO-a8.a2.a4
VC0258	VC0258	None
VC0259	VC0259	None
VC0260	VC0260	KO-a1.a7.b6
VC0262	VC0262	KO-a1.a7.b6
VC0263	VC0263	KO-a7.a1.a6
VC0264	VC0264	KO-a8.a2.a2
VC0265	VC0265	KO-a7.a3.a1
VC0266	VC0266	None
VC0267	VC0267	None
VC0268	VC0268	KO-a8.a4.a2
VC0269	VC0269	KO-a1.a1.a5:KO-a1.a1.a9:KO-a1.a7.b6
VC0270	VC0270	KO-a1.a1.a5:KO-a1.a1.a8:KO-a1.a1.a9
VC0271	VC0271	None
VC0273	VC0273	KO-a7.a2.b3:KO-a7.a2.b4:KO-a7.a2.b5
VC0274	VC0274	None
VC0275	VC0275	KO-a1.a4.a1
purH	VC0276	KO-a1.a4.a1:KO-a1.a8.a9:KO-a7.a3.a7
zntR	VC0277	KO-a7.a2.a1
VC0278	VC0278	KO-a7.a2.a1
cadB	VC0280	KO-a7.a3.a1
VC0281	VC0281	KO-a1.a5.a7
VC0282	VC0282	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC0283	VC0283	KO-a8.a4.a2
VC0284	VC0284	None
VC0285	VC0285	KO-a1.a1.a3:KO-a1.a1.b1
VC0286	VC0286	KO-a7.a3.a1
VC0287	VC0287	KO-a1.a1.a3
VC0288	VC0288	KO-a1.a1.a3
VC0289	VC0289	KO-a7.a2.a1
fis	VC0290	KO-a4.a4.a2:KO-a7.a2.a1:KO-a7.a2.b4:KO-a7.a2.b5
VC0291	VC0291	KO-a7.a2.a7
prmA	VC0293	KO-a7.a2.a6
VC0295	VC0295	KO-a1.a1.b0:KO-a1.a1.b2:KO-a1.a3.a1
VC0296	VC0296	KO-a1.a1.b0:KO-a1.a1.b2:KO-a1.a3.a1
VC0297	VC0297	KO-a1.a5.b4
VC0298	VC0298	KO-a1.a1.a1:KO-a1.a1.b0:KO-a1.a1.b1:KO-a1.a1.b2:KO-a1.a2.a6:KO-a7.a1.a8
VC0299	VC0299	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
VC0300	VC0300	KO-a8.a3.a4
VC0301	VC0301	None
VC0302	VC0302	KO-a7.a3.a1
VC0303	VC0303	None
VC0304	VC0304	KO-a1.a4.a1
VC0305	VC0305	KO-a2.a3.a7:KO-a7.a2.a3
VC0306	VC0306	KO-a7.a2.a9
rho	VC0307	KO-a2.a3.a7:KO-a7.a2.a2:KO-a7.a2.a3
VC0308	VC0308	None
VC0309	VC0309	KO-a1.a8.b2
VC0311	VC0311	None
fre	VC0312	KO-a1.a8.a2
pssA	VC0315	KO-a1.a3.b0:KO-a1.a5.a2
VC0317	VC0317	None
murB	VC0318	KO-a1.a1.a9:KO-a1.a7.b7:KO-a7.a1.a7
VC0319	VC0319	KO-a1.a8.a6:KO-a7.a2.a1
VC0320	VC0320	KO-a1.a8.a5
tuf	VC0321	KO-a7.a2.a8:KO-a7.a2.b6:KO-a7.a3.a7
secE	VC0322	KO-a2.a3.a1:KO-a3.a1.a3:KO-a4.a4.a1:KO-a7.a3.a2
nusG	VC0323	KO-a7.a2.a2:KO-a7.a2.a6
rplK	VC0324	KO-a2.a2.a1:KO-a7.a2.a5
rplA	VC0325	KO-a2.a2.a1:KO-a7.a2.a5
rplJ	VC0326	KO-a2.a2.a1:KO-a7.a2.a5
rplL	VC0327	KO-a2.a2.a1:KO-a7.a2.a5
rpoB	VC0328	KO-a2.a1.a1:KO-a7.a2.a2:KO-a7.a2.b5
VC0329	VC0329	KO-a2.a1.a1:KO-a7.a2.a2:KO-a7.a2.b5
VC0330	VC0330	KO-a8.a2.a1
nudC	VC0331	KO-a1.a8.a4
hemE	VC0332	KO-a1.a8.b1
VC0333	VC0333	None
VC0334	VC0334	None
VC0335	VC0335	KO-a8.a3.a2
VC0336	VC0336	KO-a1.a1.a1:KO-a1.a2.a6:KO-a1.a5.a2
VC0337	VC0337	None
VC0338	VC0338	KO-a7.a3.a1
psd	VC0339	KO-a1.a3.b0
VC0340	VC0340	KO-a1.a8.a1:KO-a7.a2.a6
VC0341	VC0341	KO-a7.a2.a3:KO-a7.a2.a6
VC0342	VC0342	KO-a7.a2.a7
VC0343	VC0343	KO-a7.a2.a7
VC0344	VC0344	KO-a6.b1.a3:KO-a7.a1.a7:KO-a7.a2.b4
mutL	VC0345	KO-a2.a4.a4:KO-a7.a2.b5
miaA	VC0346	KO-a7.a1.b0:KO-a7.a2.a7
hfq	VC0347	KO-a2.a3.a7:KO-a4.a4.a1:KO-a4.a4.a2:KO-a7.a2.a3:KO-a7.a2.b4
VC0348	VC0348	KO-a7.a2.a6
VC0349	VC0349	KO-a7.a1.a4
VC0350	VC0350	KO-a7.a1.a4
VC0351	VC0351	KO-a8.a4.a2
VC0352	VC0352	KO-a8.a4.a1
VC0353	VC0353	None
VC0354	VC0354	KO-a7.a2.a9
VC0355	VC0355	None
VC0356	VC0356	KO-a2.a3.a5:KO-a7.a2.a7
VC0357	VC0357	KO-a2.a3.a5:KO-a7.a2.a7
VC0358	VC0358	KO-a2.a3.a5:KO-a7.a2.a7
rpsL	VC0359	KO-a2.a2.a1:KO-a7.a2.a5
VC0360	VC0360	KO-a2.a2.a1:KO-a7.a2.a5
VC0361	VC0361	KO-a7.a2.a8:KO-a7.a2.b6
tuf	VC0362	KO-a7.a2.a8:KO-a7.a2.b6:KO-a7.a3.a7
VC0364	VC0364	KO-a8.a3.a6
VC0365	VC0365	KO-a1.a8.b1
rpsF	VC0366	KO-a2.a2.a1:KO-a7.a2.a5:KO-a7.a2.b6
VC0367	VC0367	KO-a2.a4.a5:KO-a7.a2.b5
rpsR	VC0368	KO-a2.a2.a1:KO-a7.a2.a5
rplI	VC0369	KO-a2.a2.a1:KO-a7.a2.a5
VC0370	VC0370	KO-a8.a3.a5
VC0371	VC0371	KO-a2.a4.a1:KO-a7.a2.b3
alr	VC0372	KO-a1.a6.a6:KO-a6.b1.a2:KO-a7.a1.a7
VC0373	VC0373	None
pgi	VC0374	KO-a1.a1.a1:KO-a1.a1.a3:KO-a1.a1.a8:KO-a1.a1.a9:KO-a7.a3.a7
VC0376	VC0376	None
VC0377	VC0377	KO-a4.a5.a1:KO-a7.a3.a5
VC0378	VC0378	KO-a4.a4.a1:KO-a7.a2.a1
VC0379	VC0379	KO-a7.a2.a7
VC0379a	VC0379a	None
VC0381	VC0381	None
VC0382	VC0382	None
VC0383	VC0383	None
VC0384	VC0384	KO-a1.a2.a8
VC0385	VC0385	KO-a1.a2.a8
VC0386	VC0386	KO-a1.a2.a8
VC0389	VC0389	KO-a8.a3.a1
metH	VC0390	KO-a1.a5.a3:KO-a1.a6.a4:KO-a1.a8.a9
VC0391	VC0391	KO-a1.a5.a2:KO-a1.a5.a3:KO-a1.a5.a6:KO-a1.b0.b8
VC0392	VC0392	KO-a1.a1.b1:KO-a1.a2.a6:KO-a1.a5.a1:KO-a1.a5.a2:KO-a7.a1.b1
VC0393	VC0393	None
uvrA	VC0394	KO-a2.a4.a3:KO-a7.a2.b5
VC0395	VC0395	KO-a1.a1.a4:KO-a1.a1.a6:KO-a1.a1.a8:KO-a1.a1.a9:KO-a1.a7.b6
VC0396	VC0396	None
VC0397	VC0397	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5:KO-a7.a2.b6
VC0398	VC0398	KO-a7.a2.a3
VC0399	VC0399	KO-a7.a3.a2
VC0400	VC0400	KO-a7.a3.a2
VC0401	VC0401	KO-a7.a3.a2
VC0402	VC0402	KO-a7.a3.a2
VC0403	VC0403	KO-a7.a3.a2
VC0404	VC0404	KO-a7.a3.a2
VC0405	VC0405	KO-a4.a4.a2:KO-a7.a3.a2
VC0406	VC0406	KO-a7.a3.a2
VC0407	VC0407	KO-a7.a3.a2
VC0408	VC0408	KO-a4.a4.a2:KO-a7.a3.a2
VC0409	VC0409	KO-a4.a4.a2:KO-a7.a3.a2
VC0410	VC0410	KO-a4.a4.a2:KO-a7.a3.a2
VC0411	VC0411	KO-a4.a4.a2:KO-a7.a3.a2
VC0412	VC0412	KO-a7.a3.a2
VC0413	VC0413	KO-a7.a3.a2
VC0414	VC0414	KO-a7.a3.a2
VC0415	VC0415	KO-a7.a2.b4:KO-a7.a3.a6:KO-a7.a3.a8
VC0416	VC0416	KO-a7.a2.b4
VC0417	VC0417	KO-a7.a2.b4
maf	VC0418	KO-a8.a3.a2
VC0419	VC0419	KO-a7.a2.a3:KO-a7.a2.a6
VC0420	VC0420	None
VC0421	VC0421	KO-a8.a1.a1
VC0422	VC0422	KO-a7.a1.a4
VC0423	VC0423	KO-a1.a5.a8
VC0424	VC0424	KO-a7.a2.a3
VC0425	VC0425	None
VC0426	VC0426	None
VC0428	VC0428	KO-a8.a3.a4
VC0429	VC0429	None
VC0430	VC0430	KO-a8.a4.a2
VC0431	VC0431	KO-a7.a2.a1
VC0432	VC0432	KO-a1.a1.a2:KO-a1.a1.b0:KO-a1.a1.b1:KO-a1.a2.a6:KO-a1.a5.a3
VC0433	VC0433	KO-a7.a3.a1
VC0434	VC0434	KO-a1.a9.a1:KO-a7.a1.b0
rplU	VC0435	KO-a2.a2.a1:KO-a7.a2.a5
rpmA	VC0436	KO-a2.a2.a1:KO-a7.a2.a5
obgE	VC0437	KO-a7.a2.a6
VC0438	VC0438	None
VC0439	VC0439	None
VC0440	VC0440	KO-a1.a8.a8:KO-a1.a8.a9
apaH	VC0441	KO-a1.a4.a1
apaG	VC0442	KO-a8.a3.a6
ksgA	VC0443	KO-a7.a2.a6
pdxA	VC0444	KO-a1.a8.a3
VC0445	VC0445	KO-a7.a2.a9
VC0446	VC0446	KO-a7.a3.a1
djlA	VC0447	KO-a7.a2.a9
VC0449	VC0449	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC0450	VC0450	KO-a7.a1.a7
VC0451	VC0451	None
VC0452	VC0452	KO-a2.a4.a2:KO-a7.a2.b5
trmB	VC0453	KO-a7.a2.a7
VC0454	VC0454	KO-a1.a5.a1:KO-a1.a5.a8:KO-a1.a6.a6:KO-a3.a2.a1
VC0455	VC0455	None
VC0456	VC0456	KO-a1.a4.a1
VC0457	VC0457	None
VC0458	VC0458	KO-a8.a4.a2
VC0459	VC0459	KO-a7.a3.a2
VC0460	VC0460	KO-a1.a5.a9
VC0461	VC0461	KO-a8.a1.a6
VC0462	VC0462	KO-a7.a3.a2:KO-a7.a3.a5
VC0463	VC0463	KO-a7.a3.a2:KO-a7.a3.a5
VC0464	VC0464	None
VC0465	VC0465	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7:KO-a7.a2.b6
VC0466	VC0466	KO-a7.a2.a6
VC0467	VC0467	KO-a7.a2.a1
VC0468	VC0468	KO-a1.a5.a3:KO-a1.a6.a7
VC0469	VC0469	KO-a7.a2.a6
VC0470	VC0470	KO-a8.a1.a1
VC0471	VC0471	KO-a8.a4.a1
VC0472	VC0472	KO-a1.a5.a3
VC0473	VC0473	KO-a1.a1.a3:KO-a1.a9.b3
VC0474	VC0474	None
VC0475	VC0475	KO-a7.a3.a1
VC0476	VC0476	KO-a1.a8.a3
pgk	VC0477	KO-a1.a1.a1:KO-a7.a3.a7
VC0478	VC0478	KO-a1.a1.a1:KO-a1.a1.a3:KO-a1.a1.a5:KO-a1.a2.a6
VC0479	VC0479	None
VC0480	VC0480	KO-a7.a3.a1
VC0481	VC0481	KO-a7.a3.a1
VC0482	VC0482	KO-a7.a2.a1:KO-a7.a2.b4
VC0483	VC0483	KO-a8.a4.a2
VC0485	VC0485	KO-a1.a1.a1:KO-a1.a1.b0:KO-a1.a4.a1:KO-a7.a2.b0:KO-a7.a3.a7
VC0486	VC0486	None
VC0487	VC0487	KO-a1.a1.a9:KO-a1.a5.a1:KO-a7.a1.a4
VC0488	VC0488	None
VC0489	VC0489	None
VC0490	VC0490	None
VC0491	VC0491	None
VC0492	VC0492	None
VC0493	VC0493	None
VC0494	VC0494	None
VC0495	VC0495	None
VC0496	VC0496	None
VC0497	VC0497	KO-a7.a2.a1
VC0498	VC0498	KO-a2.a4.a1:KO-a7.a2.b3
VC0499	VC0499	None
VC0500	VC0500	None
VC0501	VC0501	None
VC0502	VC0502	None
VC0503	VC0503	KO-a7.a1.a4:KO-a7.a1.a7
VC0504	VC0504	None
VC0505	VC0505	None
VC0506	VC0506	None
VC0507	VC0507	None
VC0508	VC0508	None
VC0509	VC0509	None
VC0510	VC0510	KO-a8.a2.a4
VC0512	VC0512	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC0513	VC0513	None
VC0514	VC0514	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC0515	VC0515	None
VC0516	VC0516	None
VC0517	VC0517	KO-a4.a5.a2:KO-a7.a2.a2
dnaG	VC0518	None
VC0519	VC0519	KO-a8.a4.a2
rpsU	VC0520	KO-a2.a2.a1:KO-a7.a2.a5
gcp	VC0521	None
VC0522	VC0522	None
VC0523	VC0523	KO-a1.a3.a9:KO-a1.a3.b0:KO-a7.a1.a8
VC0524	VC0524	KO-a1.a8.a8
VC0525	VC0525	KO-a1.a8.a8
uppP	VC0526	KO-a1.a7.b7:KO-a7.a1.a7
ftsB	VC0527	KO-a7.a2.b4
ispD	VC0528	KO-a1.a9.a1
ispF	VC0529	KO-a1.a9.a1
truD	VC0530	KO-a7.a2.a7
surE	VC0531	KO-a1.a4.a1:KO-a1.a4.a2:KO-a1.a8.a4
pcm	VC0532	KO-a8.a1.a1
VC0533	VC0533	KO-a8.a3.a5
VC0534	VC0534	KO-a4.a4.a2:KO-a7.a2.a2
VC0535	VC0535	KO-a2.a4.a4:KO-a7.a2.b5
cysM	VC0537	KO-a1.a5.a3
VC0538	VC0538	KO-a1.a2.a8:KO-a3.a1.a1:KO-a7.a3.a1
VC0539	VC0539	KO-a1.a2.a8:KO-a3.a1.a1:KO-a7.a3.a1
VC0540	VC0540	KO-a1.a2.a8:KO-a3.a1.a1:KO-a7.a3.a1
VC0541	VC0541	KO-a1.a2.a8:KO-a3.a1.a1:KO-a7.a3.a1
VC0542	VC0542	KO-a1.a8.a4
recA	VC0543	KO-a2.a4.a5:KO-a7.a2.b5
recX	VC0544	KO-a7.a2.b5
alaS	VC0545	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC0547	VC0547	KO-a1.a5.a2:KO-a1.a5.a3:KO-a1.a5.a6:KO-a1.b0.b8
VC0548	VC0548	KO-a3.a2.a1:KO-a4.a4.a2:KO-a7.a2.a3
VC0549	VC0549	KO-a1.a1.b0:KO-a7.a3.a1
VC0550	VC0550	KO-a1.a1.b0:KO-a7.a3.a1
VC0551	VC0551	KO-a1.a1.b0:KO-a1.a1.b3:KO-a1.b1.a1:KO-a7.a3.a1
VC0552	VC0552	KO-a8.a1.a1
VC0553	VC0553	None
VC0554	VC0554	KO-a7.a1.a4
VC0556	VC0556	KO-a1.a5.a3:KO-a1.a6.a7
VC0557	VC0557	KO-a1.a5.a3:KO-a4.a4.a1:KO-a4.a4.a2
VC0558	VC0558	None
VC0559	VC0559	None
VC0560	VC0560	KO-a2.a3.a1:KO-a3.a1.a3:KO-a4.a4.a1:KO-a7.a3.a2
rpsP	VC0561	KO-a2.a2.a1:KO-a7.a2.a5:KO-a7.a2.b6
rimM	VC0562	KO-a7.a2.a6
trmD	VC0563	KO-a7.a2.a7
rplS	VC0564	KO-a2.a2.a1:KO-a7.a2.a5
VC0565	VC0565	KO-a7.a1.a4
VC0566	VC0566	KO-a3.a2.a1:KO-a6.b1.a3:KO-a7.a1.a4:KO-a7.a2.a9
VC0567	VC0567	KO-a8.a4.a2
VC0568	VC0568	KO-a7.a2.b4
rplM	VC0570	KO-a2.a2.a1:KO-a7.a2.a5
