name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,meanlength1,meanlength2,minleft1,maxright1,minleft2,maxright2,nms1,nms2,meanmiss1,meanmiss2,relmean1,relmean2,relmin1,relmax1,relmin2,relmax2
VC0036,CDS,NC_002505,Vcr043,sRNA,NC_002505,7756,29,0.0,0.0,2,-,35720,35765,1114671,1114708,+,46,38,34333,35851,1114593,1114750,0.3661,0.0961,0.4966,0.1143,0.0105,0.7415,0.0,0.9846,0.0189,1.0
VC0470,CDS,NC_002505,TfoR,sRNA,NC_002505,6808,40,0.0,0.0,2,-,499379,499413,2236651,2236699,+,35,49,498683,499457,2236579,2236712,0.2463,0.0829,0.301,0.1045,0.0767,0.9329,0.0,1.0,0.0077,1.0
VC0910,CDS,NC_002505,Spot42,sRNA,NC_002505,6579,18,0.0,0.0,2,+,969782,969824,106142,106179,+,42,37,969714,971270,106077,106188,0.4523,0.1689,0.6009,0.1923,0.0248,0.6083,0.0,1.0,0.0092,1.0
VC1865,CDS,NC_002505,VqmR,sRNA,NC_002506,6748,22,0.0,0.0,2,+,2005174,2005213,1031536,1031574,+,39,39,2004999,2006830,1031438,1031590,0.2701,0.0844,0.3734,0.1067,0.0499,0.6503,0.0,1.0,0.0,1.0
aphA,CDS,NC_002505,TfoR,sRNA,NC_002505,5501,15,1.7229939224663428e-119,1.0051578152985888e-116,2,+,2821514,2821554,2236668,2236705,+,41,37,2821309,2822039,2236588,2236720,0.3658,0.0684,0.4799,0.0838,0.0979,0.694,0.0,0.9981,0.0769,1.0
Qrr4,sRNA,NC_002506,aphA,5UTR,NC_002505,5290,11,0.0,0.0,2,-,908268,908306,2821426,2821462,+,40,37,908212,908311,2821309,2822093,0.2624,0.0607,0.3482,0.0698,0.3647,0.0,0.0,0.8952,0.0,1.0
aphA,CDS,NC_002505,GcvB,sRNA,NC_002505,5134,24,0.0,0.0,2,+,2821468,2821510,954742,954777,-,43,36,2821306,2822088,954716,954923,0.2778,0.0698,0.4176,0.0836,0.0166,0.8837,0.0,1.0,0.0,1.0
FarS,sRNA,NC_002505,rplQ,CDS,NC_002505,5769,95,0.0,0.0,2,-,2266098,2266131,2751366,2751406,-,34,42,2266015,2266142,2750852,2751527,0.575,0.0713,0.6252,0.0898,0.3092,0.2372,0.0,1.0,0.0,1.0
VC1034,CDS,NC_002505,Spot42,sRNA,NC_002505,4509,21,0.0,0.0,2,+,1100917,1100961,106141,106177,+,45,37,1100324,1101424,106075,106185,0.3775,0.1754,0.5797,0.2045,0.7316,0.5921,0.0,1.0,0.0,1.0
grxA,CDS,NC_002505,Vcr043,sRNA,NC_002505,4428,11,0.0,0.0,2,-,1217471,1217507,1114681,1114729,+,37,49,1217195,1217653,1114589,1114750,0.2462,0.0569,0.3338,0.0705,0.1448,0.8737,0.0,1.0,0.0,1.0
VC2545,CDS,NC_002505,Vcr043,sRNA,NC_002505,4135,8,0.0,0.0,2,+,2726049,2726088,1114672,1114710,+,41,39,2725986,2726607,1114587,1114749,0.3301,0.0632,0.4451,0.0745,0.014,0.5187,0.0,0.9925,0.0,1.0
VC0706,CDS,NC_002505,VadR,sRNA,NC_002506,3641,42,4.535720361954542e-90,2.0953668156072077e-87,2,-,756381,756423,3242,3277,+,43,36,756131,756604,3197,3286,0.3463,0.0989,0.5548,0.1857,0.5773,0.8996,0.0,1.0,0.0,1.0
VC2217,CDS,NC_002505,Vcr017,sRNA,NC_002505,3906,17,0.0,0.0,2,-,2374068,2374111,350282,350317,-,43,36,2371464,2374232,350273,350369,0.27,0.0708,0.3557,0.1032,0.0255,0.5425,0.0,1.0,0.0,1.0
aphA,5UTR,NC_002505,Qrr3,sRNA,NC_002506,4023,17,0.0,0.0,2,+,2821345,2821385,772293,772329,+,41,37,2821308,2822021,772256,772369,0.3317,0.0509,0.4421,0.0561,0.0,0.3317,0.0,0.9647,0.0,1.0
VC1043,CDS,NC_002505,FarS,sRNA,NC_002505,4969,23,0.0,0.0,2,-,1112751,1112785,2266025,2266074,-,35,50,1111540,1112909,2266014,2266139,0.2919,0.0735,0.4005,0.0851,0.0515,0.5122,0.0,0.993,0.0,1.0
zapA,CDS,NC_002505,Spot42,sRNA,NC_002505,3330,7,0.0,0.0,2,+,2657977,2658019,106143,106179,+,43,37,2657833,2658268,106075,106185,0.3545,0.1393,0.5533,0.1698,0.425,0.6132,0.0,1.0,0.0,1.0
VCA0059,CDS,NC_002506,VrrA,sRNA,NC_002505,7696,15,0.0,0.0,2,-,66759,66788,1878780,1878820,+,30,41,66495,66844,1878684,1878825,0.4312,0.0558,0.4842,0.0627,0.0603,0.9774,0.0,1.0,0.0,1.0
Vcr230,sRNA,NC_002506,Spot42,sRNA,NC_002505,3287,74,0.0,0.0,2,+,938002,938043,106144,106179,+,42,36,937991,938075,106090,106186,0.3545,0.1919,0.7009,0.236,0.675,0.6281,0.0,1.0,0.1284,1.0
VC0349,CDS,NC_002505,Spot42,sRNA,NC_002505,3313,12,0.0,0.0,2,+,371783,371815,106132,106180,+,33,49,371735,372941,106078,106185,0.4074,0.1139,0.4821,0.1365,0.0297,0.5179,0.0,0.9781,0.0183,1.0
VC2606,CDS,NC_002505,Spot42,sRNA,NC_002505,3195,20,0.0,0.0,2,-,2774836,2774877,106143,106178,+,42,36,2774800,2776434,106073,106186,0.3806,0.2097,0.5199,0.2394,0.9945,0.932,0.1077,1.0,0.0,1.0
rplL,CDS,NC_002505,TfoR,sRNA,NC_002505,3158,42,0.0,0.0,2,+,339881,339922,2236663,2236699,+,42,37,339736,340182,2236588,2236710,0.3141,0.0855,0.4272,0.1244,0.422,0.6563,0.0,1.0,0.0769,1.0
VCA0181,CDS,NC_002506,Vcr043,sRNA,NC_002505,3053,9,0.0,0.0,2,+,199458,199501,1114687,1114726,+,44,40,199377,200597,1114605,1114750,0.2967,0.0803,0.3994,0.0949,0.0402,0.6129,0.0,1.0,0.0943,1.0
sucA,CDS,NC_002505,Spot42,sRNA,NC_002505,3333,20,0.0,0.0,2,-,2248970,2249017,106137,106173,+,49,37,2246619,2249524,106073,106185,0.3334,0.1824,0.4662,0.2314,0.1744,0.8944,0.0,1.0,0.0,1.0
infB,CDS,NC_002505,Spot42,sRNA,NC_002505,2608,14,8.886176014893594e-171,6.612551951173816e-168,2,+,685853,685897,106141,106177,+,46,37,685313,688095,106077,106186,0.3687,0.1832,0.5837,0.2215,0.2079,0.5978,0.0,1.0,0.0092,1.0
Vcr216,sRNA,NC_002505,GcvB,sRNA,NC_002505,2823,4,0.0,0.0,2,-,2518882,2518923,954732,954768,-,41,37,2518784,2518942,954716,954923,0.3535,0.0682,0.4733,0.0794,0.3472,0.7538,0.0,1.0,0.0,1.0
VC1193,CDS,NC_002505,Vssrna24,sRNA,NC_002505,2797,3,0.0,0.0,2,-,1266576,1266610,106501,106537,+,35,36,1266360,1266645,106480,106545,0.2531,0.0465,0.2871,0.0536,0.0958,0.992,0.0,1.0,0.0,1.0
VC1337,CDS,NC_002505,Spot42,sRNA,NC_002505,5606,7,0.0,0.0,2,+,1420779,1420814,106137,106179,+,36,42,1420709,1421944,106076,106185,0.2258,0.128,0.3206,0.1603,0.0014,0.5629,0.0,0.9991,0.0,1.0
VC0911,CDS,NC_002505,Vcr017,sRNA,NC_002505,2469,12,0.0,0.0,2,+,971411,971454,350282,350318,-,43,36,971243,972985,350273,350369,0.2607,0.0658,0.3697,0.0782,0.0886,0.9199,0.0,0.9959,0.0,1.0
VC1449,5UTR,NC_002505,VC0410,CDS,NC_002505,2462,7,0.0,0.0,2,+,1549207,1549237,436332,436369,+,31,37,1549164,1549483,436278,436385,0.1827,0.0635,0.2178,0.0832,0.0,0.6357,0.0,0.5738,0.5246,0.7439
VC0706,CDS,NC_002505,Qrr2,sRNA,NC_002506,2318,12,5.258077810110001e-280,5.7869122997764e-277,2,-,756494,756536,48514,48549,+,43,36,756159,756608,48424,48558,0.3464,0.0518,0.4767,0.0582,0.2299,0.9616,0.0,1.0,0.2108,1.0
ptsG,CDS,NC_002505,TfoR,sRNA,NC_002505,2151,13,0.0,0.0,2,-,2167866,2167910,2236666,2236704,+,45,38,2166657,2168197,2236587,2236710,0.304,0.0674,0.4282,0.0828,0.1881,0.9665,0.0,0.9933,0.0692,1.0
VC0395,CDS,NC_002505,Qrr3,sRNA,NC_002506,2129,22,0.0,0.0,2,-,421462,421486,772298,772333,+,25,36,420653,421541,772256,772367,0.5451,0.0489,0.5517,0.0536,0.0527,0.7036,0.0,0.9771,0.0,1.0
VC1905,CDS,NC_002505,Spot42,sRNA,NC_002505,2102,3,0.0,0.0,2,+,2055630,2055672,106141,106177,+,43,38,2055467,2056340,106084,106185,0.4084,0.1638,0.7341,0.2081,0.1256,0.5935,0.0,0.7198,0.0734,1.0
VC1558,CDS,NC_002505,Vssrna24,sRNA,NC_002505,3041,8,0.0,0.0,2,-,1670550,1670585,106499,106536,+,36,38,1669417,1670677,106479,106543,0.3996,0.0484,0.6058,0.0586,0.0546,0.9903,0.0,0.8433,0.0,1.0
VC0249,CDS,NC_002505,Vcr043,sRNA,NC_002505,2099,19,1.6448122571609079e-158,1.1612862215740074e-155,2,+,255839,255877,1114683,1114727,+,39,45,254729,256193,1114604,1114750,0.3297,0.0562,0.46,0.0632,0.7943,0.5869,0.0,1.0,0.0881,1.0
VCA1043,CDS,NC_002506,Spot42,sRNA,NC_002505,2029,7,0.0,0.0,2,-,994263,994304,106139,106175,+,42,37,993416,994424,106077,106185,0.342,0.2267,0.4498,0.2748,0.0371,0.9096,0.0,0.9343,0.0092,1.0
VC0186,CDS,NC_002505,Vcr043,sRNA,NC_002505,2052,7,0.0,0.0,2,-,190771,190801,1114664,1114732,+,31,69,189418,190879,1114590,1114750,0.3207,0.0427,0.3905,0.0514,0.037,0.895,0.0,1.0,0.0,1.0
sdhC,CDS,NC_002505,Spot42,sRNA,NC_002505,1978,7,0.0,0.0,2,-,2252735,2252776,106137,106173,+,41,37,2252381,2252991,106077,106186,0.3795,0.1939,0.4814,0.2332,0.0908,0.8912,0.0,0.9949,0.0092,1.0
VC0244,CDS,NC_002505,VqmR,sRNA,NC_002506,2825,38,0.0,0.0,2,+,250879,250920,1031532,1031572,+,42,41,250430,251561,1031443,1031590,0.3138,0.1069,0.4144,0.1448,0.4214,0.6278,0.0,1.0,0.0333,1.0
Vcr043,sRNA,NC_002505,VC0731,3UTR,NC_002505,2006,6,5.458244050557231e-38,1.2136808759514512e-35,2,+,1114632,1114672,786577,786619,-,41,43,1114587,1114749,786548,787311,0.2886,0.078,0.3958,0.1119,0.5178,1.0,0.0,1.0,0.0,1.0
VC1048,CDS,NC_002505,Vcr043,sRNA,NC_002505,2003,2,0.0,0.0,2,+,1118475,1118516,1114676,1114714,+,42,39,1118421,1119255,1114592,1114749,0.3225,0.075,0.4698,0.0933,0.1131,0.5403,0.0,1.0,0.0126,1.0
VC0706,CDS,NC_002505,TarB,sRNA,NC_002505,1954,4,0.0,0.0,2,-,756373,756412,911235,911271,-,40,37,756174,756571,911231,911318,0.3194,0.0552,0.4543,0.0612,0.6004,0.5605,0.0,1.0,0.023,1.0
VC2386,CDS,NC_002505,Spot42,sRNA,NC_002505,1822,17,0.0,0.0,2,+,2551246,2551285,106138,106174,+,40,37,2550597,2552259,106077,106185,0.3057,0.1833,0.3732,0.2256,0.4138,0.5662,0.0,1.0,0.0092,1.0
VCA0892,3UTR,NC_002506,Vcr043,sRNA,NC_002505,2353,9,0.0,0.0,2,-,845000,845028,1114641,1114717,+,29,77,844975,845379,1114591,1114750,0.142,0.0316,0.1947,0.0349,1.0,0.7986,0.1834,1.0,0.0063,1.0
VC2355,CDS,NC_002505,Vcr043,sRNA,NC_002505,1857,5,0.0,0.0,2,-,2511605,2511645,1114664,1114705,+,41,42,2510817,2511738,1114589,1114750,0.2825,0.0766,0.3896,0.0916,0.038,0.7236,0.0,1.0,0.0,1.0
VC2387,CDS,NC_002505,Spot42,sRNA,NC_002505,1797,8,5.525753276701464e-270,5.907751983834088e-267,2,+,2552587,2552628,106135,106174,+,42,40,2552243,2553138,106078,106185,0.2972,0.1725,0.4135,0.1987,0.6141,0.5404,0.0,1.0,0.0183,1.0
Qrr3,sRNA,NC_002506,aphA,5UTR,NC_002505,2134,1,1.9461416898804894e-207,1.7049047351913905e-204,2,+,772258,772291,2821421,2821456,+,35,36,772253,772363,2821307,2821946,0.2459,0.0696,0.2931,0.0786,0.3119,0.0,0.0,0.9813,0.0,0.8256
VC0033,CDS,NC_002505,Qrr1,sRNA,NC_002505,1719,1,0.0,0.0,2,+,32500,32537,1089972,1090007,-,38,36,32468,32616,1089963,1090059,0.2487,0.1208,0.4813,0.1541,0.9667,0.9123,0.8891,1.0,0.0,1.0
Vcr067,sRNA,NC_002505,Spot42,sRNA,NC_002505,1716,17,0.0,0.0,2,+,1801988,1802030,106134,106169,+,43,37,1801885,1802127,106073,106185,0.346,0.1876,0.5896,0.2329,0.6099,0.5283,0.0,1.0,0.0,1.0
VC0910,CDS,NC_002505,VqmR,sRNA,NC_002506,1677,10,0.0,0.0,2,+,969973,970006,1031527,1031577,+,34,51,969729,971249,1031442,1031590,0.3375,0.0865,0.3965,0.1216,0.1519,0.5912,0.0,1.0,0.0267,1.0
VC1434,CDS,NC_002505,Spot42,sRNA,NC_002505,1665,1,0.0,0.0,2,-,1532414,1532456,106133,106168,+,43,36,1531813,1532486,106076,106185,0.2991,0.1562,0.4505,0.1868,0.0723,0.8463,0.0,0.871,0.0,1.0
Vcr025,sRNA,NC_002505,VadR,sRNA,NC_002506,13117,2,0.0,0.0,2,+,522667,522710,3245,3279,+,44,35,522600,522718,3211,3286,0.4892,0.1102,0.6743,0.2217,0.9326,0.5207,0.0,1.0,0.1084,1.0
VCA0933,3UTR,NC_002506,Vcr229,sRNA,NC_002506,1613,100,0.0,0.0,2,+,886453,886479,897587,897682,+,27,96,885964,886550,897525,897727,0.1847,0.0887,0.2176,0.1798,1.0,0.3029,0.0,1.0,0.0,1.0
VC0395,CDS,NC_002505,Qrr2,sRNA,NC_002506,1612,9,0.0,0.0,2,-,421464,421488,48509,48544,+,25,36,421161,421542,48446,48556,0.4491,0.0583,0.4547,0.0651,0.0502,0.9345,0.0,0.3966,0.3434,1.0
VC0395,CDS,NC_002505,Qrr4,sRNA,NC_002506,1581,10,0.0,0.0,2,-,421462,421493,908215,908250,-,32,36,420725,421543,908200,908303,0.3669,0.0658,0.413,0.0797,0.0528,0.5372,0.0,0.8949,0.0286,1.0
sdhC,CDS,NC_002505,Vcr043,sRNA,NC_002505,1838,12,0.0,0.0,2,-,2252726,2252764,1114679,1114720,+,40,42,2252366,2252961,1114599,1114750,0.4368,0.0619,0.5645,0.0717,0.116,0.8191,0.0,1.0,0.0566,1.0
VC2550,CDS,NC_002505,Spot42,sRNA,NC_002505,1556,5,4.149493560126908e-103,2.1913425295543586e-100,2,+,2733409,2733451,106138,106175,+,43,38,2733378,2734026,106076,106185,0.2367,0.2026,0.3574,0.2341,0.0845,0.5669,0.0,1.0,0.0,1.0
VC0037,CDS,NC_002505,Vcr043,sRNA,NC_002505,1494,7,0.0,0.0,2,-,36392,36426,1114680,1114727,+,35,47,35904,36491,1114592,1114750,0.3481,0.0589,0.4183,0.0676,0.1375,0.8598,0.0,1.0,0.0126,1.0
VC2137,CDS,NC_002505,Spot42,sRNA,NC_002505,1490,26,0.0,0.0,2,-,2292565,2292597,106138,106177,+,34,40,2291285,2292907,106077,106185,0.3315,0.151,0.3879,0.2168,0.1456,0.9237,0.0,1.0,0.0092,1.0
ompU,CDS,NC_002505,Vcr043,sRNA,NC_002505,1487,33,8.565524318773207e-7,3.4866009999790175e-5,2,-,675632,675675,1114701,1114738,+,44,37,674781,676001,1114606,1114750,0.2851,0.0773,0.3793,0.0955,0.2362,0.9289,0.0,1.0,0.1006,1.0
ptsG,CDS,NC_002505,Vcr227,sRNA,NC_002506,1462,15,0.0,0.0,2,-,2168082,2168117,479974,480015,+,36,41,2166674,2168205,479953,480025,0.2811,0.0766,0.3488,0.0855,0.0445,0.8713,0.0,0.982,0.0,1.0
VC0249,CDS,NC_002505,VqmR,sRNA,NC_002506,2046,12,0.0,0.0,2,+,255698,255736,1031531,1031575,+,39,44,254735,256194,1031472,1031590,0.4169,0.0982,0.5014,0.1401,0.6949,0.623,0.0,1.0,0.2267,1.0
fliF,CDS,NC_002505,Vcr227,sRNA,NC_002506,1452,70,0.0,0.0,2,-,2287134,2287164,479970,480016,+,31,46,2286546,2288298,479951,480023,0.277,0.0687,0.3513,0.0785,0.6731,0.8873,0.0046,1.0,0.0,1.0
VCA0745,CDS,NC_002506,Spot42,sRNA,NC_002505,1420,45,0.0,0.0,2,-,690211,690248,106139,106177,+,38,39,689650,690807,106073,106185,0.3901,0.1521,0.5887,0.1789,0.4499,0.9231,0.0,1.0,0.0,1.0
recF,CDS,NC_002505,Spot42,sRNA,NC_002505,1448,5,0.0,0.0,2,+,10553,10589,106144,106180,+,37,37,10221,10890,106087,106185,0.4619,0.1893,0.541,0.2712,0.5481,0.6225,0.2108,0.824,0.1009,1.0
16Sg:5Sh,IGR,NC_002505,Spot42,sRNA,NC_002505,1402,6,0.0,0.0,2,-,2933588,2933623,106136,106174,+,36,39,2933281,2933645,106077,106185,0.2382,0.2047,0.2974,0.2389,0.1567,0.9013,0.0,0.9973,0.0092,1.0
VC0583,5UTR,NC_002505,Qrr3,sRNA,NC_002506,3482,0,0.0,0.0,2,-,613188,613231,772320,772355,+,44,36,612711,613255,772268,772368,0.5371,0.0557,0.6821,0.0643,0.0,0.9031,0.0,0.7623,0.0935,1.0
VC1919,5UTR,NC_002505,VrrA,sRNA,NC_002505,1494,6,0.0,0.0,2,-,2069184,2069226,1878774,1878810,+,43,37,2068847,2069282,1878682,1878824,0.4727,0.0726,0.6085,0.0826,0.0,0.9065,0.0,1.0,0.0,1.0
VC0706,CDS,NC_002505,Vcr064,sRNA,NC_002505,1356,12,0.0,0.0,2,-,756334,756376,1595738,1595773,-,43,35,756172,756598,1595728,1595809,0.3614,0.0863,0.5052,0.1047,0.7213,0.408,0.0,1.0,0.0,1.0
FarS,sRNA,NC_002505,VC1043,CDS,NC_002505,1337,27,1.0325261172386607e-175,7.839327349888205e-173,2,-,2266079,2266123,1112716,1112754,-,45,39,2266014,2266141,1111564,1112909,0.4914,0.1219,0.6036,0.3074,0.4731,0.0488,0.0,1.0,0.0,0.9743
VC1449,CDS,NC_002505,TfoR,sRNA,NC_002505,1329,12,0.0,0.0,2,+,1549288,1549325,2236657,2236696,+,38,40,1549162,1549664,2236578,2236710,0.2558,0.0843,0.386,0.1151,0.1334,0.6095,0.0,1.0,0.0,1.0
VC0641,5UTR,NC_002505,Vcr227,sRNA,NC_002506,1328,15,0.0,0.0,2,+,683204,683241,479976,480014,+,38,39,683117,683783,479951,480023,0.3931,0.0663,0.5301,0.0836,0.0,0.275,0.0,0.9495,0.0,1.0
VC1498,CDS,NC_002505,Vcr043,sRNA,NC_002505,1317,6,0.0,0.0,2,-,1609720,1609758,1114684,1114725,+,38,43,1609185,1609825,1114589,1114750,0.2825,0.0524,0.4039,0.0592,0.1916,0.8517,0.0104,1.0,0.0,1.0
VC0112,CDS,NC_002505,VadR,sRNA,NC_002506,1396,3,0.0,0.0,2,+,107444,107486,3246,3280,+,44,35,107381,108147,3201,3286,0.3102,0.0917,0.4927,0.2292,0.1154,0.5285,0.0,1.0,0.0,1.0
VC1532,CDS,NC_002505,Vssrna24,sRNA,NC_002505,1796,2,0.0,0.0,2,-,1645550,1645591,106501,106536,+,42,36,1644691,1645666,106477,106548,0.307,0.0441,0.4084,0.0487,0.0334,0.9888,0.0,0.9791,0.0,1.0
VC2605,CDS,NC_002505,Spot42,sRNA,NC_002505,1286,7,0.0,0.0,2,-,2774788,2774827,106138,106176,+,40,39,2774560,2774843,106072,106185,0.4487,0.2154,0.682,0.2589,0.1396,0.9155,0.0,1.0,0.0,1.0
QrrA,sRNA,NC_002506,Qrr4,sRNA,NC_002506,1753,23,0.0,0.0,2,-,776887,776919,908213,908248,-,33,36,776831,776968,908200,908308,0.3378,0.0764,0.374,0.0843,0.5616,0.5506,0.0,0.9448,0.0,1.0
VC2771,CDS,NC_002505,MicV,sRNA,NC_002505,1387,1,0.0,0.0,2,-,2956424,2956465,2812097,2812121,-,41,25,2956237,2956702,2812093,2812163,0.4069,0.0387,0.5633,0.058,0.5363,0.6077,0.0,1.0,0.0,1.0
VCA0935,5UTR,NC_002506,Vcr229,sRNA,NC_002506,1234,50,0.0,0.0,2,+,886747,886776,897592,897680,+,30,89,886595,887257,897521,897744,0.2618,0.0956,0.2861,0.2058,0.0,0.3256,0.0,1.0,0.0,1.0
VC1492,CDS,NC_002505,Spot42,sRNA,NC_002505,1267,7,3.746235762939106e-163,2.7107120360137584e-160,2,-,1601998,1602041,106137,106177,+,44,41,1597554,1602520,106078,106185,0.2922,0.1657,0.3731,0.2,0.0876,0.9311,0.0,1.0,0.0183,1.0
cyaA,5UTR,NC_002505,Qrr3,sRNA,NC_002506,1638,3,0.0,0.0,2,+,115997,116039,772299,772334,+,43,36,115954,118266,772267,772366,0.2222,0.0564,0.3627,0.0613,0.0,0.3873,0.0,0.8744,0.0841,1.0
VC1904,CDS,NC_002505,GcvB,sRNA,NC_002505,1351,8,0.0,0.0,2,-,2055346,2055380,954737,954781,-,35,45,2054887,2055520,954717,954906,0.2265,0.0601,0.2998,0.0692,0.0567,0.6922,0.0,0.9858,0.0784,1.0
MicX,sRNA,NC_002506,VC0620,5UTR,NC_002505,1211,5,0.0,0.0,2,-,893391,893432,657300,657333,-,41,35,893272,893616,655742,657460,0.5673,0.2015,0.763,0.223,0.6548,0.0,0.0,1.0,0.0,0.9467
VCA0166,CDS,NC_002506,VCA0543,3UTR,NC_002506,1191,1073,0.0,0.0,2,+,184243,184268,479946,479969,+,25,24,184135,184469,479332,479985,0.4047,0.0235,0.4114,0.0235,0.0503,1.0,0.0,1.0,0.0,1.0
VC2550,CDS,NC_002505,FarS,sRNA,NC_002505,1341,16,2.91474e-319,3.56765574e-316,2,+,2733529,2733570,2266023,2266060,-,42,38,2733378,2734053,2266014,2266138,0.2941,0.0908,0.4849,0.0992,0.3016,0.9498,0.0,1.0,0.0,1.0
cyaA,CDS,NC_002505,Vcr227,sRNA,NC_002506,1168,54,0.0,0.0,2,+,116064,116099,479975,480017,+,36,43,115967,118621,479951,480024,0.2705,0.0856,0.333,0.095,0.0182,0.2635,0.0,1.0,0.0,1.0
VC1141,CDS,NC_002505,Spot42,sRNA,NC_002505,1190,4,0.0,0.0,2,+,1209735,1209779,106139,106176,+,45,37,1209455,1211897,106077,106185,0.2498,0.1983,0.3742,0.2343,0.0569,0.5807,0.0,1.0,0.0092,1.0
