name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2,relpos1,relpos2
VC0252,CDS,NC_002505,VC0251,CDS,NC_002505,560,38,0.0,0.0,2,+,259824,260409,257306,259777,+,1.0,0.0057
sucC,CDS,NC_002505,VC2086,CDS,NC_002505,558,33,0.0,0.0,2,-,2244060,2245251,2245389,2246653,-,1.0,0.0
rpoB,CDS,NC_002505,VC0329,CDS,NC_002505,543,9,0.0,0.0,2,+,340394,344397,344521,348683,+,0.9995,0.004
VC0745,3UTR,NC_002505,Vcr045,sRNA,NC_002505,539,6,0.0,0.0,2,-,798768,798823,1164251,1164326,+,0.3557,0.0
VC0250,CDS,NC_002505,VC0251,CDS,NC_002505,538,28,0.0,0.0,2,+,256164,257314,257306,259790,+,1.0,0.0057
Vcr036,sRNA,NC_002505,VC0745,3UTR,NC_002505,533,12,1.4776968928303445e-299,6.096699801396144e-296,2,-,840377,840448,798783,798822,-,1.0,0.0
VC2084,CDS,NC_002505,VC2086,CDS,NC_002505,526,19,0.0,0.0,2,-,2243185,2244080,2245386,2246657,-,1.0,0.0
VC2320,CDS,NC_002505,VC2319,CDS,NC_002505,502,18,0.0,0.0,2,-,2468623,2472265,2466537,2468647,-,1.0,0.0
VC0550,CDS,NC_002505,VC0551,CDS,NC_002505,499,16,0.0,0.0,2,+,582633,584459,584421,585600,+,1.0,0.0
VC2319,CDS,NC_002505,VC2320,CDS,NC_002505,498,22,0.0,0.0,2,-,2466515,2468636,2468618,2472236,-,1.0,0.0063
VC0406,CDS,NC_002505,VC0404,CDS,NC_002505,490,36,0.0,0.0,2,+,433090,434348,430217,431395,+,1.0,0.0017
FlaX,sRNA,NC_002505,VC2142,CDS,NC_002505,487,5,0.0,0.0,2,-,2334422,2334688,2296284,2297447,-,1.0,0.0
FlaX,sRNA,NC_002505,VC2545,3UTR,NC_002505,481,1,0.0,0.0,2,-,2334423,2334688,2726600,2726658,+,1.0,0.0
dcuC,3UTR,NC_002506,Vcr078,sRNA,NC_002505,481,4,0.0,0.0,2,+,602088,602149,2332937,2333111,-,1.0,0.0
VC2086,CDS,NC_002505,VC2084,CDS,NC_002505,477,32,6.685711953692175e-308,2.954261826676102e-304,2,-,2245390,2246637,2243181,2244086,-,1.0,0.0
zntA,CDS,NC_002505,VC1034,CDS,NC_002505,475,12,0.0,0.0,2,+,1097643,1099958,1100371,1101178,+,1.0,0.0
VC2320,CDS,NC_002505,recC,CDS,NC_002505,470,15,0.0,0.0,2,-,2468621,2472266,2472505,2475906,-,1.0,0.0186
VC0551,CDS,NC_002505,VC0550,CDS,NC_002505,458,21,0.0,0.0,2,+,584427,585594,582628,584462,+,1.0,0.0
VCA1091,CDS,NC_002506,VCA1092,CDS,NC_002506,456,53,0.0,0.0,2,-,1046417,1047230,1047229,1049285,-,0.9663,0.0
VC0250,CDS,NC_002505,VC0249,CDS,NC_002505,452,36,0.0,0.0,2,+,256160,257312,254735,256175,+,1.0,0.0
rpsH,CDS,NC_002505,rpsE,CDS,NC_002505,448,18,0.0,0.0,2,-,2757664,2758063,2756216,2756762,-,1.0,0.0
VC0251,CDS,NC_002505,VC0252,CDS,NC_002505,442,36,0.0,0.0,2,+,257306,259789,259821,260422,+,1.0,0.0
VC0329,CDS,NC_002505,rpoB,CDS,NC_002505,434,7,0.0,0.0,2,+,344490,348629,340391,344397,+,0.981,0.0042
VC2084,CDS,NC_002505,sucA,CDS,NC_002505,429,24,4.848266927432341e-128,5.613255798344968e-125,2,-,2243188,2244081,2246617,2249478,-,1.0,0.0
recC,CDS,NC_002505,VC2320,CDS,NC_002505,429,7,0.0,0.0,2,-,2472523,2475942,2468693,2472276,-,1.0,0.0
VC0404,CDS,NC_002505,VC0406,CDS,NC_002505,426,27,1.0679065332808349e-299,4.4552106015150596e-296,2,+,430215,431382,433090,434334,+,0.9983,0.0
sucA,CDS,NC_002505,VC2084,CDS,NC_002505,424,12,7.038668251556448e-125,7.940000555213462e-122,2,-,2246620,2249443,2243183,2244064,-,1.0,0.0103
VC2207,CDS,NC_002505,FlaX,sRNA,NC_002505,422,8,0.0,0.0,2,-,2351337,2352032,2334422,2334693,-,1.0,0.0
VC2086,CDS,NC_002505,sucC,CDS,NC_002505,422,39,6.563575194585219e-213,1.586244069647506e-209,2,-,2245390,2246633,2244072,2245235,-,1.0,0.0034
VC0251,CDS,NC_002505,VC0250,CDS,NC_002505,417,50,5.19169963032815e-304,2.2281700668617322e-300,2,+,257288,259786,256165,257314,+,1.0,0.0
VC0349,CDS,NC_002505,VC0350,CDS,NC_002505,416,24,0.0,0.0,2,+,371755,372964,372983,373986,+,0.9975,0.0133
sdhB,CDS,NC_002505,sucA,CDS,NC_002505,412,17,1.1563805225473129e-262,3.889876556683342e-259,2,-,2249547,2250258,2246626,2249099,-,1.0,0.1285
VCA1090,CDS,NC_002506,VCA1092,CDS,NC_002506,408,32,0.0,0.0,2,-,1045744,1046449,1047204,1049287,-,1.0,0.0
VC0405,CDS,NC_002505,VC0403,CDS,NC_002505,402,34,0.0,0.0,2,+,431370,433119,429367,430245,+,1.0,0.0
VCA1092,CDS,NC_002506,VCA1091,CDS,NC_002506,398,65,0.0,0.0,2,-,1047231,1049286,1046408,1047253,-,1.0,0.0
VC1874,CDS,NC_002505,VC1872,CDS,NC_002505,397,17,2.2633570891391153e-235,6.40231704610074e-232,2,+,2018301,2019884,2014934,2016877,+,1.0,0.0
VC0249,CDS,NC_002505,VC0251,CDS,NC_002505,397,20,2.445607737088398e-235,6.89174106053199e-232,2,+,254738,256186,257277,259765,+,1.0,0.0
VC1034,CDS,NC_002505,zntA,CDS,NC_002505,394,11,0.0,0.0,2,+,1100376,1101183,1097622,1099960,+,1.0,0.0
VCA1094,CDS,NC_002506,VCA1095,CDS,NC_002506,389,42,0.0,0.0,2,-,1049729,1050284,1050277,1052457,-,1.0,0.0
VC0403,CDS,NC_002505,VC0405,CDS,NC_002505,388,19,1.2360794862362147e-308,5.494461607711848e-305,2,+,429383,430242,431368,433107,+,1.0,0.0
sucA,CDS,NC_002505,sdhB,CDS,NC_002505,383,21,1.1496567391091305e-232,3.156365670507366e-229,2,-,2246621,2249432,2249527,2250266,-,1.0,0.0
VC1874,CDS,NC_002505,VC1872,5UTR,NC_002505,381,8,0.0,0.0,2,+,2018325,2019885,2014894,2014973,+,1.0,0.0
Vcr078,sRNA,NC_002505,VCA0051,CDS,NC_002506,378,7,2.2059999327538384e-130,2.6400304195231562e-127,2,-,2332924,2333105,58290,59676,-,1.0,0.0
VCA0985,CDS,NC_002506,lldD,CDS,NC_002506,378,13,0.0,0.0,2,+,934145,937014,932902,934051,+,0.9934,0.0
VC2656,CDS,NC_002505,VC2657,CDS,NC_002505,378,26,0.0,0.0,2,+,2826742,2828558,2828545,2829338,+,0.9989,0.0
VCA1092,CDS,NC_002506,VCA1094,CDS,NC_002506,377,28,0.0,0.0,2,-,1047220,1049281,1049723,1050292,-,1.0,0.0
VCA0691,CDS,NC_002506,VCA0690,CDS,NC_002506,373,26,0.0,0.0,2,-,629303,630078,628070,629319,-,1.0,0.0
VCA1095,CDS,NC_002506,VCA1093,CDS,NC_002506,371,24,0.0,0.0,2,-,1050273,1052441,1049256,1049750,-,1.0,0.0
VC1872,CDS,NC_002505,VC1874,CDS,NC_002505,368,7,3.6606714969244765e-207,8.463427167496238e-204,2,+,2014939,2016899,2018296,2019891,+,1.0,0.0
VCA0690,CDS,NC_002506,VCA0691,CDS,NC_002506,358,45,0.0,0.0,2,-,628092,629333,629304,630084,-,1.0,0.0
VC0633,3UTR,NC_002505,VCA0052,CDS,NC_002506,358,1,0.0,0.0,2,-,674774,674841,61061,61276,-,1.0,0.0
VCA1092,CDS,NC_002506,VCA1090,CDS,NC_002506,356,31,0.0,0.0,2,-,1047218,1049292,1045732,1046449,-,1.0,0.0014
fliM,CDS,NC_002505,VC2128,CDS,NC_002505,354,19,0.0,0.0,2,-,2279060,2280134,2280658,2282665,-,1.0,0.0109
rplN,5UTR,NC_002505,rplE,CDS,NC_002505,354,12,0.0,0.0,2,-,2759660,2759740,2758382,2758805,-,1.0,0.2653
VC0350,CDS,NC_002505,VC0349,CDS,NC_002505,350,22,0.0,0.0,2,+,372981,373984,371749,372933,+,1.0,0.0
VCA1092,CDS,NC_002506,VCA1089,CDS,NC_002506,349,39,0.0,0.0,2,-,1047224,1049288,1044693,1045746,-,1.0,0.0058
VC2295,CDS,NC_002505,VC2294,CDS,NC_002505,345,20,0.0,0.0,2,-,2449453,2450837,2448167,2449469,-,0.9849,0.0
VCA1089,CDS,NC_002506,VCA1092,CDS,NC_002506,342,31,0.0,0.0,2,-,1044681,1045747,1047205,1049290,-,1.0,0.0
VC0407,CDS,NC_002505,VC0405,CDS,NC_002505,339,24,3.671267980075415e-279,1.3639801651825262e-275,2,+,434325,434817,431378,433107,+,1.0,0.0023
VC2658,CDS,NC_002505,VC2656,CDS,NC_002505,337,16,0.0,0.0,2,+,2829304,2829711,2826735,2828561,+,1.0,0.0
VC2723,CDS,NC_002505,VC2725,CDS,NC_002505,334,19,0.0,0.0,2,-,2896894,2897675,2898166,2899395,-,1.0,0.0016
VCA0690,CDS,NC_002506,VCA0688,CDS,NC_002506,333,14,3.700728075412306e-270,1.3097630835695727e-266,2,-,628075,629331,625875,627631,-,1.0,0.0214
lldD,CDS,NC_002506,VCA0985,CDS,NC_002506,328,14,0.0,0.0,2,+,932909,934043,934153,937030,+,0.9886,0.0
Vcr078,sRNA,NC_002505,VC2295,CDS,NC_002505,327,6,9.5549744694615e-45,3.5587967054906256e-42,2,-,2332924,2333094,2449745,2450838,-,1.0,0.0
VC0251,CDS,NC_002505,VC0254,CDS,NC_002505,327,18,6.703365438926013e-264,2.2754025525262076e-260,2,+,257306,259778,260748,261954,+,1.0,0.0
VC1874,3UTR,NC_002505,GcvB,sRNA,NC_002505,327,4,8.689436902151187e-291,3.470068542402805e-287,2,+,2019850,2019936,954718,954924,-,1.0,0.0
Vcr043,sRNA,NC_002505,VC0731,3UTR,NC_002505,326,13,5.54979842379071e-266,1.9098774509359614e-262,2,+,1114607,1114750,786554,786686,-,1.0,0.0
VC2725,CDS,NC_002505,VC2723,CDS,NC_002505,323,24,0.0,0.0,2,-,2898171,2899393,2896897,2897682,-,1.0,0.0
VC2598,CDS,NC_002505,VC2599,CDS,NC_002505,322,21,0.0,0.0,2,-,2765236,2766012,2765999,2768483,-,1.0,0.0
VC0574,CDS,NC_002505,VC0575,CDS,NC_002505,322,18,0.0,0.0,2,+,604805,606072,606059,606826,+,0.996,0.0
VC0251,CDS,NC_002505,VC0249,CDS,NC_002505,318,21,4.882158513869471e-161,7.995305433595028e-158,2,+,257288,259726,254801,256194,+,0.9826,0.0339
VC2294,CDS,NC_002505,VC2295,CDS,NC_002505,315,9,0.0,0.0,2,-,2448169,2449463,2449435,2450841,-,1.0,0.0
VC1338,CDS,NC_002505,VC1339,CDS,NC_002505,312,15,0.0,0.0,2,+,1422066,1424610,1424631,1425871,+,0.9858,0.0
VqmR,sRNA,NC_002506,VC0249,CDS,NC_002505,312,5,6.303367542407175e-136,7.951314841855559e-133,2,+,1031473,1031588,254928,256122,+,1.0,0.1237
VC2142,CDS,NC_002505,FlaX,sRNA,NC_002505,311,4,4.459770024547428e-236,1.2663237189244608e-232,2,-,2296282,2297439,2334425,2334723,-,1.0,0.0
VC1874,CDS,NC_002505,VC1873,CDS,NC_002505,310,31,3.2186067482534954e-233,8.902094068913922e-230,2,+,2018302,2019886,2017022,2018332,+,1.0,0.0
VC2128,CDS,NC_002505,fliM,CDS,NC_002505,310,18,0.0,0.0,2,-,2280677,2282677,2279060,2280130,-,0.9931,0.0
VCA1071,CDS,NC_002506,VCA1073,CDS,NC_002506,309,11,0.0,0.0,2,-,1021266,1022778,1023544,1026673,-,1.0,0.0029
VC0575,CDS,NC_002505,VC0574,CDS,NC_002505,308,22,0.0,0.0,2,+,606091,606821,604802,606078,+,1.0,0.0
fliD,CDS,NC_002505,VC2142,CDS,NC_002505,304,12,0.0,0.0,2,-,2293815,2295766,2296274,2297445,-,0.9615,0.0
Vcr045,sRNA,NC_002505,Vcr222,sRNA,NC_002505,298,29,0.0,0.0,2,+,1164272,1164326,2783824,2783946,-,1.0,0.0
VCA1092,CDS,NC_002506,VCA1093,CDS,NC_002506,298,38,2.9197133762072966e-266,1.0094260173042015e-262,2,-,1047220,1049288,1049264,1049761,-,1.0,0.0
VC1279:VC1281,IGR,NC_002505,VC1279,CDS,NC_002505,298,13,0.0,0.0,2,+,1355361,1356727,1353599,1355221,+,0.9657,0.0
VCA1045,CDS,NC_002506,VCA1046,CDS,NC_002506,297,25,0.0,0.0,2,+,994868,996728,996914,998114,+,0.9477,0.0
VC2142,CDS,NC_002505,fliD,CDS,NC_002505,296,9,0.0,0.0,2,-,2296299,2297428,2293808,2295765,-,0.9965,0.0
VC1874,CDS,NC_002505,GcvB,sRNA,NC_002505,295,8,1.7552798741372494e-107,1.622269631397552e-104,2,+,2018481,2019886,954716,954924,-,1.0,0.0
VC0405,CDS,NC_002505,VC0407,CDS,NC_002505,295,20,1.1518269262791993e-225,3.002389566160717e-222,2,+,431369,433122,434310,434825,+,1.0,0.0
VC0583,3UTR,NC_002505,VC0745,3UTR,NC_002505,295,5,2.4487214515756254e-155,3.7549006485339485e-152,2,-,612524,612577,798769,798821,-,0.2752,0.0
VC1203,CDS,NC_002505,hutH,CDS,NC_002505,293,16,0.0,0.0,2,-,1277825,1279487,1276275,1277845,-,1.0,0.0
VCA1093,CDS,NC_002506,VCA1095,CDS,NC_002506,291,21,7.486481545e-315,3.429874108057e-311,2,-,1049260,1049761,1050269,1052400,-,1.0,0.0185
VC1339,CDS,NC_002505,VC1338,CDS,NC_002505,288,17,0.0,0.0,2,+,1424639,1425864,1422042,1424659,+,1.0,0.0004
hutH,CDS,NC_002505,VC1203,CDS,NC_002505,287,19,0.0,0.0,2,-,1276275,1277838,1277819,1279530,-,1.0,0.0029
VC2136,CDS,NC_002505,VC2135,CDS,NC_002505,282,21,0.0,0.0,2,-,2290150,2291210,2288697,2290061,-,0.9953,0.0605
VC1439,CDS,NC_002505,VC1442,CDS,NC_002505,282,14,0.0,0.0,2,-,1536314,1537324,1538099,1539570,-,1.0,0.0
VC2143,5UTR,NC_002505,FlaX,sRNA,NC_002505,282,3,0.0,0.0,2,-,2298781,2298877,2334424,2334689,-,1.0,0.0
Vcr078,sRNA,NC_002505,VC1832,CDS,NC_002505,280,3,4.9250669873584546e-248,1.5261004665077377e-244,2,-,2332926,2333094,1974010,1974418,+,0.9884,0.1766
VCA0189,CDS,NC_002506,VCA0191,CDS,NC_002506,280,9,0.0,0.0,2,+,205594,206623,207079,208596,+,1.0,0.0
VqmR,sRNA,NC_002506,rplL,CDS,NC_002505,279,3,0.0,0.0,2,+,1031439,1031589,339778,340146,+,1.0,0.0274
VCA0052,CDS,NC_002506,VC0633,3UTR,NC_002505,278,5,0.0,0.0,2,-,61080,61269,674774,674849,-,0.1191,0.0
VC2725,CDS,NC_002505,VC2724,CDS,NC_002505,278,31,0.0,0.0,2,-,2898175,2899391,2897649,2898174,-,0.9992,0.0
VCA1073,CDS,NC_002506,VCA1071,CDS,NC_002506,277,10,2.364894952772773e-277,8.699691298876991e-274,2,-,1023555,1026636,1021287,1022791,-,1.0,0.0
VC2062,CDS,NC_002505,VC2063,CDS,NC_002505,275,25,1.1002809753765384e-267,3.8395281520742445e-264,2,-,2216446,2217626,2217595,2220006,-,1.0,0.0
VC1442,CDS,NC_002505,VC1439,CDS,NC_002505,275,11,0.0,0.0,2,-,1538120,1539568,1536321,1537325,-,1.0,0.0
VC0402,CDS,NC_002505,VC0404,CDS,NC_002505,274,23,5.66210353602772e-229,1.504733231959606e-225,2,+,427721,429394,430213,431360,+,1.0,0.0
VC2657,CDS,NC_002505,VC2656,CDS,NC_002505,274,25,0.0,0.0,2,+,2828551,2829335,2826731,2828515,+,1.0,0.0
VC0252,CDS,NC_002505,VC0254,CDS,NC_002505,272,9,8.74e-322,4.056205e-318,2,+,259823,260412,260790,261955,+,1.0,0.0
VC1084,CDS,NC_002505,VC1085,CDS,NC_002505,271,17,0.0,0.0,2,+,1149984,1151323,1151308,1152643,+,1.0,0.0
VC0305,CDS,NC_002505,VC0304,CDS,NC_002505,267,9,0.0,0.0,2,-,316337,317649,314840,316359,-,1.0,0.0
VqmR,sRNA,NC_002506,VC2063,CDS,NC_002505,264,3,3.882037272604876e-124,4.359393591184494e-121,2,+,1031471,1031589,2217673,2219982,-,1.0,0.0
rplO,CDS,NC_002505,secY,CDS,NC_002505,263,10,0.0,0.0,2,-,2755586,2756042,2754222,2755597,-,1.0,0.0
VC1873,CDS,NC_002505,VC1874,CDS,NC_002505,263,16,3.146809304856611e-180,6.056569789191703e-177,2,+,2017024,2018326,2018303,2019860,+,1.0,0.0
Vcr078,sRNA,NC_002505,VC0583,CDS,NC_002505,261,7,3.329273466438232e-39,1.1000921261411554e-36,2,-,2332924,2333092,612556,613185,-,1.0,0.0
thrA,CDS,NC_002505,VC2363,CDS,NC_002505,261,11,0.0,0.0,2,-,2519975,2522320,2518951,2519854,-,0.9496,0.0
VC2617,CDS,NC_002505,argD,CDS,NC_002505,260,17,0.0,0.0,2,-,2785350,2786378,2786506,2787756,-,1.0,0.0
VCA1095,CDS,NC_002506,VCA1094,CDS,NC_002506,258,52,1.5035763705256276e-247,4.639788154422165e-244,2,-,1050273,1052464,1049724,1050294,-,1.0,0.0
VC0408,CDS,NC_002505,VC0406,CDS,NC_002505,256,7,2.000176524548754e-218,4.945946435729543e-215,2,+,434808,435453,433125,434319,+,1.0,0.0123
VC2135,CDS,NC_002505,VC2136,CDS,NC_002505,255,16,0.0,0.0,2,-,2288698,2290161,2290127,2291219,-,1.0,0.0
VCA1091,CDS,NC_002506,VCA1089,CDS,NC_002506,254,29,0.0,0.0,2,-,1046417,1047232,1044688,1045764,-,0.9663,0.0
VC0254,CDS,NC_002505,VC0251,CDS,NC_002505,253,15,2.5707110263158916e-177,4.787369113575988e-174,2,+,260778,261947,257284,259790,+,1.0,0.0
VqmR,sRNA,NC_002506,sucA,CDS,NC_002505,250,2,4.8878103401029e-6,0.0002518512318567117,2,+,1031446,1031589,2246628,2249481,-,1.0,0.0
VC0188,CDS,NC_002505,uvrD,CDS,NC_002505,248,7,0.0,0.0,2,+,192041,194074,194194,196077,+,0.999,0.0
uvrD,CDS,NC_002505,VC0188,CDS,NC_002505,248,7,0.0,0.0,2,+,194198,196135,192045,194078,+,0.8848,0.0054
VC2207,CDS,NC_002505,VC2206,3UTR,NC_002505,247,9,0.0,0.0,2,-,2351885,2352010,2350729,2350924,-,0.1961,0.0
VC2063,CDS,NC_002505,VC2062,CDS,NC_002505,247,18,4.0054560422558e-229,1.0682722927098029e-225,2,-,2217599,2219987,2216455,2217624,-,1.0,0.0
VC0180,CDS,NC_002505,VC0179,CDS,NC_002505,247,21,0.0,0.0,2,+,181722,183493,180414,181749,+,1.0,0.0
VC2363,CDS,NC_002505,thrA,CDS,NC_002505,245,14,0.0,0.0,2,-,2518941,2519852,2519937,2522286,-,0.9299,0.0098
VCA1093,CDS,NC_002506,VCA1092,CDS,NC_002506,245,33,1.1300945638816065e-198,2.519173067638791e-195,2,-,1049261,1049756,1047230,1049285,-,1.0,0.0
VC2599,CDS,NC_002505,VC2598,CDS,NC_002505,244,9,8.817211636652402e-265,3.020388425837701e-261,2,-,2766288,2768480,2765231,2766008,-,0.8844,0.0
VCA0688,CDS,NC_002506,VCA0690,CDS,NC_002506,244,16,8.274535703558041e-167,1.4075607235575045e-163,2,-,625878,627629,628074,629319,-,1.0,0.0
VC1511,CDS,NC_002505,VC1513,CDS,NC_002505,242,7,0.0,0.0,2,-,1623268,1624349,1624954,1627849,-,1.0,0.0
VCA0769,CDS,NC_002506,VCA0768,CDS,NC_002506,239,10,0.0,0.0,2,-,712734,713369,711462,712726,-,1.0,0.0
rpsE,CDS,NC_002505,rpsH,CDS,NC_002505,239,22,0.0,0.0,2,-,2756221,2756761,2757665,2758091,-,1.0,0.0
VC2187,CDS,NC_002505,Vcr078,sRNA,NC_002505,238,61,1.2639290700637563e-11,1.4838340504789364e-9,2,-,2333122,2334117,2332936,2333111,-,0.8641,0.0
VC0403,CDS,NC_002505,VC0404,CDS,NC_002505,237,35,3.025265368075146e-189,6.346020981596104e-186,2,+,429387,430229,430258,431382,+,0.9917,0.0368
VCA0114,CDS,NC_002506,VCA0116,CDS,NC_002506,236,8,3.0276325635338744e-300,1.2773735732967902e-296,2,+,124031,125379,126161,128805,+,1.0,0.0
VC0038,3UTR,NC_002505,Vcr078,sRNA,NC_002505,234,5,6.504114721244209e-22,1.3095418599657536e-19,2,-,36492,36538,2332935,2333134,-,0.7234,0.0
VC1279,CDS,NC_002505,VC1279:VC1281,IGR,NC_002505,234,8,0.0,0.0,2,+,1353664,1355218,1355390,1356653,+,0.9969,0.0114
VCA1046,CDS,NC_002506,VCA1045,CDS,NC_002506,234,21,0.0,0.0,2,+,996945,998106,994862,996711,+,1.0,0.0
VC0414,CDS,NC_002505,VC0412,CDS,NC_002505,233,28,4.5944483358639637e-237,1.314561445467358e-233,2,+,438237,441985,437053,437844,+,0.9995,0.0
