name1,type1,ref1,name2,type2,ref2,nb_chimeras,nb_multi,p_value,fdr,in_libs,strand1,left1,right1,left2,right2,strand2
Qrr1,sRNA,NC_002505,Qrr2,sRNA,NC_002506,3018,3000,0,0,2,-,1089962,1090053,48413,48512,+
Vcr017,sRNA,NC_002505,VC2217,5UTR,NC_002505,2996,13,0,0,2,-,350273,350369,2374119,2374286,-
Vcr076,sRNA,NC_002505,VC1043,CDS,NC_002505,2976,31,0,0,2,-,2266014,2266157,1111540,1112839,-
VrrA,sRNA,NC_002505,VCA0059,5UTR,NC_002506,2921,11,0,0,2,+,1878684,1878825,66753,66844,-
Spot42,sRNA,NC_002505,VC2478,CDS,NC_002505,2596,3,0,0,2,+,106075,106185,2657863,2658214,+
Spot42,sRNA,NC_002505,infB,CDS,NC_002505,2582,17,0,0,2,+,106077,106186,685313,688035,+
GcvB,sRNA,NC_002505,Vcr216,sRNA,NC_002505,2459,4,0,0,2,-,954716,954923,2518784,2518973,-
Vcr090,sRNA,NC_002506,Vcr229,sRNA,NC_002506,2447,19,1.44E-07,4.36E-06,2,+,3194,3286,897520,897769,+
Vcr043,sRNA,NC_002505,Vcr059,sRNA,NC_002505,2399,40,0,0,2,+,1114589,1114750,1579062,1579168,-
VC0410,CDS,NC_002505,VC1449,5UTR,NC_002505,2309,2,0,0,2,+,436278,436385,1549164,1549252,+
Spot42,sRNA,NC_002505,VC1337,5UTR,NC_002505,2197,2,0,0,2,+,106082,106185,1420709,1420833,+
TfoR,sRNA,NC_002505,VC2013,CDS,NC_002505,2155,14,0,0,2,+,2236587,2236710,2166657,2168169,-
Vssrna24,sRNA,NC_002505,VC2647,5UTR,NC_002505,2120,4,3.92E-182,2.58E-179,2,+,106480,106557,2821290,2821520,+
Qrr3,sRNA,NC_002506,VC0395,CDS,NC_002505,2102,1810,0,0,2,+,772266,772367,420653,421530,-
Vcr043,sRNA,NC_002505,VCA0181,5UTR,NC_002506,2081,3,0,0,2,+,1114589,1114750,199377,199487,+
Vssrna24,sRNA,NC_002505,VC1193,CDS,NC_002505,2061,0,0,0,2,+,106480,106539,1266429,1266616,-
Spot42,sRNA,NC_002505,VC1905,CDS,NC_002505,2045,3,0,0,2,+,106086,106185,2055513,2056340,+
Vssrna24,sRNA,NC_002505,VC1558,CDS,NC_002505,2041,8,0,0,2,+,106480,106557,1669417,1670645,-
Spot42,sRNA,NC_002505,sucA,CDS,NC_002505,2022,18,0,0,2,+,106073,106185,2246619,2249482,-
Vcr043,sRNA,NC_002505,VC0249,CDS,NC_002505,2021,25,0,0,2,+,1114605,1114750,254729,256193,+
Vcr089,sRNA,NC_002505,VC2745:VC2753,IGR,NC_002505,1944,147,0,0,2,-,2812092,2812164,2928057,2937043,-
VqmR,sRNA,NC_002506,Vcr229,sRNA,NC_002506,1926,17,2.17E-19,1.84E-17,2,+,1031472,1031589,897524,897754,+
Vcr043,sRNA,NC_002505,VC0731,CDS,NC_002505,1896,19,0,0,2,+,1114589,1114750,786644,787285,-
VqmR,sRNA,NC_002506,VC0244,CDS,NC_002505,1892,35,0,0,2,+,1031443,1031590,250430,251561,+
TarB,sRNA,NC_002505,VC0706,CDS,NC_002505,1831,5,0,0,2,-,911231,911318,756223,756571,-
Spot42,sRNA,NC_002505,VC2386,CDS,NC_002505,1822,21,0,0,2,+,106077,106185,2550597,2552259,+
Qrr2,sRNA,NC_002506,VC0706,CDS,NC_002505,1810,5,1.01E-294,9.94E-292,2,+,48424,48558,756221,756591,-
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,1754,4,0,0,2,-,786548,786682,1114588,1114742,+
Vcr043,sRNA,NC_002505,VCA0892,3UTR,NC_002506,1742,7,0,0,2,+,1114590,1114750,844975,845077,-
VC2647,5UTR,NC_002505,Qrr3,sRNA,NC_002506,1736,2,0,0,2,+,2821307,2821518,772253,772322,+
Spot42,sRNA,NC_002505,sdhC,CDS,NC_002505,1735,5,0,0,2,+,106077,106186,2252381,2252793,-
Spot42,sRNA,NC_002505,VC2387,CDS,NC_002505,1713,9,0,0,2,+,106078,106185,2552243,2552888,+
Spot42,sRNA,NC_002505,Vcr067,sRNA,NC_002505,1681,24,0,0,2,+,106073,106185,1801885,1802151,+
Spot42,sRNA,NC_002505,VC1434,CDS,NC_002505,1664,1,0,0,2,+,106077,106185,1531813,1532486,-
GcvB,sRNA,NC_002505,VC2647,CDS,NC_002505,1615,7,0,0,2,-,954716,954923,2821479,2822041,+
Vcr090,sRNA,NC_002506,Vcr025,sRNA,NC_002505,1615,2,0,0,2,+,3211,3286,522600,522718,+
Vcr043,sRNA,NC_002505,VC0186,CDS,NC_002505,1599,4,0,0,2,+,1114590,1114750,189528,190839,-
Qrr2,sRNA,NC_002506,VC0395,CDS,NC_002505,1596,10,0,0,2,+,48456,48556,421161,421530,-
Qrr4,sRNA,NC_002506,VC0395,CDS,NC_002505,1566,599,0,0,2,-,908200,908300,420725,421530,-
Vcr017,sRNA,NC_002505,VC0911,5UTR,NC_002505,1566,1,0,0,2,-,350273,350369,971243,971325,+
Vcr229,sRNA,NC_002506,VCA0933:VCA0935,IGR,NC_002506,1557,18,0,0,2,+,897525,897727,886304,886699,+
Spot42,sRNA,NC_002505,VCA1043,5UTR,NC_002506,1535,7,0,0,2,+,106077,106185,994277,994424,-
Qrr1,sRNA,NC_002505,VC0033,CDS,NC_002505,1488,60,0,0,2,-,1089963,1090059,32468,32587,+
VqmR,sRNA,NC_002506,VC2647,5UTR,NC_002505,1482,11,2.27E-143,1.21E-140,2,+,1031421,1031589,2821295,2821522,+
Spot42,sRNA,NC_002505,VC2745:VC2753,IGR,NC_002505,1462,5,1.38E-73,4.12E-71,2,+,106077,106185,2923112,2937463,-
VqmR,sRNA,NC_002506,VC0249,CDS,NC_002505,1449,14,0,0,2,+,1031473,1031590,254735,256194,+
Vcr227,sRNA,NC_002506,fliF,CDS,NC_002505,1433,28,0,0,2,+,479942,480023,2286546,2288298,-
Spot42,sRNA,NC_002505,recF,CDS,NC_002505,1416,6,0,0,2,+,106087,106185,10221,10890,+
Vcr043,sRNA,NC_002505,grxA,5UTR,NC_002505,1413,8,0,0,2,+,1114588,1114750,1217488,1217653,-
Qrr3,sRNA,NC_002506,VC0583,5UTR,NC_002505,1378,8,0,0,2,+,772268,772368,613165,613255,-
Qrr4,sRNA,NC_002506,Qrr2,sRNA,NC_002506,1372,1352,0,0,2,-,908200,908302,48413,48534,+
Spot42,sRNA,NC_002505,VC2137,CDS,NC_002505,1371,19,0,0,2,+,106079,106185,2291299,2292800,-
Vcr043,sRNA,NC_002505,VC0037,CDS,NC_002505,1349,2,0,0,2,+,1114601,1114750,36175,36449,-
Vcr064,sRNA,NC_002505,VC0706,CDS,NC_002505,1333,15,0,0,2,-,1595728,1595809,756223,756591,-
Vcr043,sRNA,NC_002505,VC1498,CDS,NC_002505,1330,5,0,0,2,+,1114589,1114750,1609260,1609825,-
VC0706,3UTR,NC_002505,Vcr043,sRNA,NC_002505,1330,4,0,0,2,-,756201,756260,1114588,1114746,+
Vcr089,sRNA,NC_002505,VC0158:VC0162,IGR,NC_002505,1323,101,0,0,2,-,2812093,2812163,150886,157231,+
VrrA,sRNA,NC_002505,VC1919,5UTR,NC_002505,1294,5,0,0,2,+,1878682,1878824,2069162,2069282,-
Vcr090,sRNA,NC_002506,VC0112,CDS,NC_002505,1293,2,0,0,2,+,3203,3286,107400,108039,+
Vcr043,sRNA,NC_002505,VC0633,CDS,NC_002505,1291,30,1.59E-147,8.81E-145,2,+,1114606,1114750,674822,675872,-
Vcr043,sRNA,NC_002505,VC2355,5UTR,NC_002505,1282,5,0,0,2,+,1114588,1114750,2511616,2511738,-
Spot42,sRNA,NC_002505,VC2605,CDS,NC_002505,1280,7,0,0,2,+,106072,106185,2774609,2774843,-
Qrr4,sRNA,NC_002506,Vcr103,sRNA,NC_002506,1274,258,0,0,2,-,908200,908298,776831,776968,-
Spot42,sRNA,NC_002505,VC0244,CDS,NC_002505,1245,13,6.29E-72,1.82E-69,2,+,106079,106185,250434,251568,+
Vcr089,sRNA,NC_002505,VC2771,CDS,NC_002505,1238,2,0,0,2,-,2812093,2812163,2956237,2956648,-
Spot42,sRNA,NC_002505,Vcr026,sRNA,NC_002505,1218,19,0,0,2,+,106078,106186,522799,523472,-
Qrr3,sRNA,NC_002506,cyaA,5UTR,NC_002505,1205,61,0,0,2,+,772267,772366,115954,116065,+
Vcr043,sRNA,NC_002505,VC0036,CDS,NC_002505,1173,7,0,0,2,+,1114594,1114749,34415,35756,-
VC1043,CDS,NC_002505,Vcr076,sRNA,NC_002505,1173,10,0,0,2,-,1111564,1112835,2266017,2266141,-
Vcr076,sRNA,NC_002505,VC2550,CDS,NC_002505,1165,15,0,0,2,-,2266014,2266138,2733383,2733951,+
Vssrna24,sRNA,NC_002505,VC1532,5UTR,NC_002505,1163,0,0,0,2,+,106477,106548,1645562,1645666,-
Vcr043,sRNA,NC_002505,VC1048,CDS,NC_002505,1158,3,0,0,2,+,1114592,1114749,1118431,1119005,+
VqmR,sRNA,NC_002506,infB,CDS,NC_002505,1141,1,0,0,2,+,1031450,1031589,685309,687979,+
Vcr043,sRNA,NC_002505,sdhC,CDS,NC_002505,1126,12,0,0,2,+,1114589,1114750,2252366,2252793,-
Vcr227,sRNA,NC_002506,VC2013,CDS,NC_002505,1115,10,0,0,2,+,479952,480024,2166674,2168170,-
Vcr229,sRNA,NC_002506,VCA0935,5UTR,NC_002506,1112,19,0,0,2,+,897526,897755,886656,886868,+
VqmR,sRNA,NC_002506,VC0910,CDS,NC_002505,1092,5,0,0,2,+,1031442,1031589,969766,971242,+
Spot42,sRNA,NC_002505,ligA,3UTR,NC_002505,1088,0,0,0,2,+,106078,106185,1037244,1037480,+
Vcr227,sRNA,NC_002506,VC0641,5UTR,NC_002505,1085,5,0,0,2,+,479952,480023,683154,683370,+
Spot42,sRNA,NC_002505,VC0910,CDS,NC_002505,1081,16,1.16E-145,6.32E-143,2,+,106077,106185,969766,971244,+
VC2745:VC2753,IGR,NC_002505,Vcr089,sRNA,NC_002505,1059,108,0,0,2,-,2921613,2937037,2812095,2812163,-
GcvB,sRNA,NC_002505,VC1904,5UTR,NC_002505,1039,5,0,0,2,-,954717,954865,2055351,2055520,-
Spot42,sRNA,NC_002505,cyaA,CDS,NC_002505,1036,11,3.35E-138,1.72E-135,2,+,106078,106185,116031,118587,+
VC0620,5UTR,NC_002505,MicX,sRNA,NC_002506,1032,5,0,0,2,-,657307,657460,893272,893535,-
Vcr227,sRNA,NC_002506,cyaA,5UTR,NC_002505,1025,6,0,0,2,+,479946,480024,115967,116074,+
Vcr076,sRNA,NC_002505,VCA0946,CDS,NC_002506,1024,14,9.07E-294,8.85E-291,2,-,2266014,2266164,897841,898993,+
Vcr083,sRNA,NC_002505,Spot42,sRNA,NC_002505,1023,8,0.000178890452392,0.002264014970798,2,+,2472399,2472566,106075,106173,+
Vcr089,sRNA,NC_002505,VC0713:VC0714,IGR,NC_002505,1022,92,0,0,2,-,2812093,2812163,764504,767716,+
Vcr089,sRNA,NC_002505,fre:murB,IGR,NC_002505,1017,94,0,0,2,-,2812093,2812163,323962,329200,+
Qrr1,sRNA,NC_002505,cyaA,5UTR,NC_002505,1017,60,0,0,2,-,1089962,1090053,115940,116069,+
Spot42,sRNA,NC_002505,VC1492,CDS,NC_002505,1010,4,1.19E-270,1.08E-267,2,+,106078,106184,1597750,1602444,-
Vcr229,sRNA,NC_002506,VC0633,CDS,NC_002505,1004,23,5.75E-215,4.22E-212,2,+,897526,897727,674807,675900,-
Vcr043,sRNA,NC_002505,VC0899,CDS,NC_002505,998,1,0,0,2,+,1114589,1114750,957459,958655,-
VrrA,sRNA,NC_002505,VC0706,CDS,NC_002505,994,15,1.50E-43,2.72E-41,2,+,1878684,1878825,756223,756591,-
Vcr043,sRNA,NC_002505,VC2361,5UTR,NC_002505,991,3,0,0,2,+,1114595,1114750,2517076,2517156,+
Vcr090,sRNA,NC_002506,VC2064,CDS,NC_002505,991,20,0,0,2,+,3201,3286,2219966,2220733,-
Vcr089,sRNA,NC_002505,VC0386:metH,IGR,NC_002505,990,73,0,0,2,-,2812093,2812164,401539,408035,+
Qrr4,sRNA,NC_002506,VC2647,5UTR,NC_002505,985,15,5.98E-295,5.91E-292,2,-,908200,908308,2821294,2821518,+
Vcr089,sRNA,NC_002505,VC0059:ccrB,IGR,NC_002505,975,95,0,0,2,-,2812093,2812163,53626,58765,+
VC0433:rplU,IGR,NC_002505,Vcr043,sRNA,NC_002505,957,16,9.27E-05,0.001321623271529,2,+,466288,466325,1114588,1114734,+
Vcr043,sRNA,NC_002505,infB,CDS,NC_002505,947,6,4.23E-74,1.27E-71,2,+,1114590,1114750,685312,687920,+
TfoR,sRNA,NC_002505,Vcr034,sRNA,NC_002505,942,5,0,0,2,+,2236587,2236710,755988,756207,-
VrrA,sRNA,NC_002505,tolB,CDS,NC_002505,941,8,0,0,2,+,1878683,1878825,1977083,1978499,-
Spot42,sRNA,NC_002505,VCA0570,CDS,NC_002506,937,7,0,0,2,+,106080,106185,508269,508600,-
Vcr043,sRNA,NC_002505,VCA0181,CDS,NC_002506,927,5,0,0,2,+,1114588,1114750,199444,200245,+
TfoR,sRNA,NC_002505,VCA0026,CDS,NC_002506,925,3,0,0,2,+,2236586,2236710,32001,32625,-
TfoR,sRNA,NC_002505,VC1449,5UTR,NC_002505,921,2,0,0,2,+,2236586,2236710,1549162,1549298,+
TfoR,sRNA,NC_002505,VCA0952,CDS,NC_002506,917,8,0,0,2,+,2236589,2236710,901408,902013,-
Vcr043,sRNA,NC_002505,dcuC,CDS,NC_002506,911,5,0,0,2,+,1114589,1114750,600711,602098,+
Vcr017,sRNA,NC_002505,VC2348,CDS,NC_002505,892,3,0,0,2,-,350273,350364,2504377,2505622,-
Vcr090,sRNA,NC_002506,VC0246,CDS,NC_002505,892,6,0,0,2,+,3201,3286,252942,253696,+
Spot42,sRNA,NC_002505,sucA,5UTR,NC_002505,884,4,0,0,2,+,106076,106185,2249439,2249524,-
TfoR,sRNA,NC_002505,VC1055,CDS,NC_002505,883,10,0,0,2,+,2236588,2236710,1124818,1125166,+
Spot42,sRNA,NC_002505,hfq,CDS,NC_002505,856,1,6.30E-301,6.30E-298,2,+,106078,106185,370128,370415,+
TfoR,sRNA,NC_002505,VCA0946,CDS,NC_002506,852,12,4.37E-153,2.51E-150,2,+,2236590,2236710,897847,899005,+
TfoR,sRNA,NC_002505,VC1077,CDS,NC_002505,850,5,0,0,2,+,2236587,2236710,1145491,1146013,-
TfoR,sRNA,NC_002505,cysE,CDS,NC_002505,846,6,0,0,2,+,2236592,2236710,2822143,2822996,-
Vcr090,sRNA,NC_002506,cyaA,CDS,NC_002505,846,6,0,0,2,+,3201,3286,116044,117933,+
Vcr043,sRNA,NC_002505,secG,5UTR,NC_002505,843,4,0,0,2,+,1114590,1114750,682460,682599,+
GcvB,sRNA,NC_002505,VC0031,5UTR,NC_002505,838,12,0,0,2,-,954716,954906,29524,29706,-
Vcr017,sRNA,NC_002505,VC2669,CDS,NC_002505,837,5,0,0,2,-,350273,350364,2836629,2836879,-
Spot42,sRNA,NC_002505,VC2550,5UTR,NC_002505,835,0,0,0,2,+,106087,106185,2733349,2733426,+
Vcr076,sRNA,NC_002505,VCA1063,5UTR,NC_002506,835,9,0,0,2,-,2266014,2266134,1015344,1015520,-
Spot42,sRNA,NC_002505,aspA,CDS,NC_002505,834,11,8.14E-88,2.89E-85,2,+,106077,106185,2864936,2866410,+
Vcr043,sRNA,NC_002505,sucC,5UTR,NC_002505,827,42,0,0,2,+,1114590,1114750,2245223,2245343,-
Vcr043,sRNA,NC_002505,VC2545,CDS,NC_002505,823,2,0,0,2,+,1114602,1114749,2726059,2726607,+
TfoR,sRNA,NC_002505,VCA0309,CDS,NC_002506,815,7,0,0,2,+,2236587,2236710,321345,322012,+
Spot42,sRNA,NC_002505,VCA0942:VCA0946,IGR,NC_002506,814,23,0,0,2,+,106078,106185,897461,897825,+
VrrA,sRNA,NC_002505,VC0633,CDS,NC_002505,803,11,0,0,2,+,1878683,1878825,674808,675902,-
VC2745:VC2753,IGR,NC_002505,VC0059:ccrB,IGR,NC_002505,800,99,0,0,2,-,2928024,2937462,53633,58786,+
Spot42,sRNA,NC_002505,glpK,5UTR,NC_002506,791,42,0,0,2,+,106079,106185,689593,689706,-
Vcr089,sRNA,NC_002505,VC0490,CDS,NC_002505,790,7,0,0,2,-,2812093,2812167,523429,525097,-
Spot42,sRNA,NC_002505,Vcr202,sRNA,NC_002505,783,6,1.18E-52,2.54E-50,2,+,106107,106185,481104,481316,-
Vcr017,sRNA,NC_002505,VC0911,CDS,NC_002505,766,7,0,0,2,-,350273,350365,971282,972985,+
Spot42,sRNA,NC_002505,VC0490,CDS,NC_002505,763,27,4.83E-30,6.05E-28,2,+,106076,106185,523429,525103,-
Qrr1,sRNA,NC_002505,VC2000,5UTR,NC_002505,762,27,0,0,2,-,1089962,1090053,2152017,2152203,+
Spot42,sRNA,NC_002505,VC0112,5UTR,NC_002505,759,5,0,0,2,+,106077,106185,107342,107430,+
Spot42,sRNA,NC_002505,rplL,CDS,NC_002505,753,12,6.08E-16,4.22E-14,2,+,106079,106185,339751,340143,+
Spot42,sRNA,NC_002505,VC2613:VC2614,IGR,NC_002505,749,33,0,0,2,+,106078,106185,2782132,2782190,+
Vcr064,sRNA,NC_002505,VC1919,5UTR,NC_002505,747,3,0,0,2,-,1595728,1595829,2069161,2069297,-
Spot42,sRNA,NC_002505,VC1141,CDS,NC_002505,745,4,5.82E-287,5.51E-284,2,+,106078,106185,1209632,1211897,+
Spot42,sRNA,NC_002505,VCA0946,5UTR,NC_002506,738,8,1.74E-266,1.56E-263,2,+,106090,106185,897776,897881,+
TfoR,sRNA,NC_002505,VC0633,CDS,NC_002505,737,18,1.97E-53,4.30E-51,2,+,2236578,2236710,674812,675902,-
Vcr043,sRNA,NC_002505,VC1866,5UTR,NC_002505,736,0,0,1.04E-305,2,+,1114588,1114750,2006766,2006974,+
Vcr227,sRNA,NC_002506,VC2041,3UTR,NC_002505,733,23,0,0,2,+,479933,480023,2199219,2199324,+
VqmR,sRNA,NC_002506,VC0305,CDS,NC_002505,726,6,0,0,2,+,1031458,1031589,316321,317660,-
GcvB,sRNA,NC_002505,VCA0970,CDS,NC_002506,725,2,0,0,2,-,954716,954896,917051,917392,-
TfoR,sRNA,NC_002505,VC1886,CDS,NC_002505,723,7,0,0,2,+,2236593,2236710,2030456,2033908,+
Spot42,sRNA,NC_002505,VCA0220,5UTR,NC_002506,722,1,0,0,2,+,106078,106185,240005,240135,+
GcvB,sRNA,NC_002505,purU,5UTR,NC_002505,722,3,0,0,2,-,954716,954860,2143870,2143952,+
Vcr227,sRNA,NC_002506,VC0966,5UTR,NC_002505,720,7,0,0,2,+,479928,480024,1031850,1032037,-
Vcr227,sRNA,NC_002506,VC0147,CDS,NC_002505,719,7,0,0,2,+,479947,480023,137015,138162,+
VC0158:VC0162,IGR,NC_002505,VC2745:VC2753,IGR,NC_002505,719,81,0,0,2,+,150806,156409,2920651,2937463,-
Vcr008,sRNA,NC_002505,GcvB,sRNA,NC_002505,718,18,0,0,2,+,158915,159012,954733,954925,-
Spot42,sRNA,NC_002505,gltA,CDS,NC_002505,711,1,8.18E-290,7.84E-287,2,+,106078,106184,2253141,2254386,+
Spot42,sRNA,NC_002505,infC,CDS,NC_002506,701,9,9.17E-126,4.35E-123,2,+,106079,106185,308565,308996,+
Vcr043,sRNA,NC_002505,VC1048,5UTR,NC_002505,701,1,0,0,2,+,1114589,1114749,1118421,1118477,+
Vcr045,sRNA,NC_002505,MicX,sRNA,NC_002506,698,4,4.74E-289,4.53E-286,2,+,1164241,1164327,893288,893532,-
TfoR,sRNA,NC_002505,VC0428,CDS,NC_002505,691,10,0,0,2,+,2236578,2236710,456919,457314,-
VC2745:VC2753,IGR,NC_002505,VC0158:VC0162,IGR,NC_002505,691,71,0,0,2,-,2928052,2937462,150835,157224,+
Vcr082,sRNA,NC_002505,VC2013,CDS,NC_002505,689,1,0,0,2,-,2433385,2433590,2166680,2168170,-
MicX,sRNA,NC_002506,VC0620,5UTR,NC_002505,683,7,3.05E-229,2.39E-226,2,-,893270,893620,657303,657461,-
Vcr017,sRNA,NC_002505,VC0910,CDS,NC_002505,683,9,0,0,2,-,350273,350389,969774,971246,+
Spot42,sRNA,NC_002505,VC2550,CDS,NC_002505,682,3,1.59E-54,3.53E-52,2,+,106076,106185,2733382,2733961,+
TfoR,sRNA,NC_002505,VC1367,CDS,NC_002505,681,3,0,0,2,+,2236575,2236710,1456150,1458129,-
Vcr076,sRNA,NC_002505,aspA,CDS,NC_002505,673,5,2.93E-219,2.19E-216,2,-,2266014,2266148,2864946,2866412,+
VrrA,sRNA,NC_002505,infB,CDS,NC_002505,671,3,1.42E-256,1.22E-253,2,+,1878683,1878824,685309,688030,+
Vcr076,sRNA,NC_002505,VCA0935,CDS,NC_002506,668,12,0,0,2,-,2266014,2266158,886828,887214,+
Vcr043,sRNA,NC_002505,VC1247,CDS,NC_002505,664,2,1.68E-246,1.40E-243,2,+,1114605,1114750,1318788,1319172,-
GcvB,sRNA,NC_002505,VC0648,5UTR,NC_002505,661,2,0,0,2,-,954717,954910,692443,692510,+
VC0059:ccrB,IGR,NC_002505,VC2745:VC2753,IGR,NC_002505,659,90,0,0,2,+,53645,58790,2928021,2937463,-
Vcr017,sRNA,NC_002505,rpoB,3UTR,NC_002505,657,2,0,0,2,-,350273,350317,344411,344478,+
Spot42,sRNA,NC_002505,VCA0745,3UTR,NC_002506,655,41,0,0,2,+,106079,106185,689650,689739,-
Spot42,sRNA,NC_002505,VC2341,CDS,NC_002505,654,3,0,9.72E-307,2,+,106120,106184,2493569,2494961,+
VC0158:VC0162,IGR,NC_002505,Vcr089,sRNA,NC_002505,642,55,0,0,2,+,150818,156601,2812114,2812164,-
VqmR,sRNA,NC_002506,VCA0181,5UTR,NC_002506,641,3,0,0,2,+,1031475,1031590,199369,199487,+
Vcr090,sRNA,NC_002506,VC2039,CDS,NC_002505,640,1,0,0,2,+,3222,3286,2196373,2197054,-
GcvB,sRNA,NC_002505,VC0391,5UTR,NC_002505,639,2,0,0,2,-,954716,954922,414124,414316,-
TfoR,sRNA,NC_002505,VCA0543,CDS,NC_002506,634,5,8.03E-291,7.78E-288,2,+,2236589,2236710,479320,479851,+
VC1051,5UTR,NC_002505,Vcr043,sRNA,NC_002505,628,4,3.36E-16,2.38E-14,2,+,1121369,1121480,1114588,1114733,+
