name1,gene1,name2,gene2,type1,type2,relpos1,relpos2,nb_fragments,libs,norm_odds,p_value,ip_total_ratio1,ip_total_ratio2,chromosome1,first_start1,last_start1,chromosome2,first_start2,last_start2
VC0147 -> VC0148,VC0147,U3.VCA0543 -> Vcr227,Vcr227,gene,srna,0.6535593220338983,-1.0,457,1,8.86,0.0,1.53,82.96,NC_002505,137802,138334,NC_002506,479951,479994
VC1043,VC1043,Vcr076,Vcr076,gene,srna,0.0,-1.0,456,"1,2",0.83,0.0005508744,11.39,94.09,NC_002505,-1112864,-1112700,NC_002505,-2266096,-2266019
U5.VC2217 -> VC2217,VC2217,Vcr017,Vcr017,gene,srna,0.0,-1.0,446,"1,2",33.97,0.0,59.48,15.12,NC_002505,-2374196,-2374100,NC_002505,-350345,-350277
U5.VC2550,VC2549,Spot42,Spot42,gene,srna,0.5756929637526652,-1.0,444,"1,2",1.79,0.0,11.74,127.63,NC_002505,2733328,2733399,NC_002505,106088,106161
VC0706 -> U3.VC0706,Vcr034,Vcr064,Vcr064,srna,srna,-1.0,-1.0,432,"1,2",4.28,0.0,1.55,12.86,NC_002505,-756494,-756218,NC_002505,-1595783,-1595731
U5.VC0112 -> VC0112,VC0112,Vcr090,Vcr090,gene,srna,0.0,-1.0,425,"1,2",23.93,0.0,1.03,9.03,NC_002505,107400,107526,NC_002506,3203,3258
Vcr067,Vcr067,Spot42,Spot42,srna,srna,-1.0,-1.0,424,"1,2",0.29,0.0,3.01,125.12,NC_002505,1801916,1802084,NC_002505,106077,106157
U5.cyaA,cyaA,Qrr3,Qrr3,gene,srna,0.0,-1.0,420,"1,2",22.96,0.0,12.79,49.32,NC_002505,115907,115999,NC_002506,772272,772331
VC2669 -> U3.VC2669,VC2669,Vcr017,Vcr017,gene,srna,0.24307692307692308,-1.0,401,1,49.77,0.0,13.15,16.03,NC_002505,-2836787,-2836618,NC_002505,-350337,-350279
Qrr4,Qrr4,IG.VC2646|VC2647 -> VC2647,VC2647,srna,gene,-1.0,0.0,394,"1,2",2.34,0.0,16.98,61.74,NC_002506,-908292,-908243,NC_002505,2821315,2821750
U5.cyaA,cyaA,Qrr1 -> IG.VC1023|VC1017,Qrr1,gene,srna,0.0,-1.0,380,"1,2",19.84,0.0,12.79,13.94,NC_002505,115915,115993,NC_002505,-1090016,-1089963
sucA,sucA,IG.VC0108|VC0112 -> Spot42,Spot42,gene,srna,0.05819935691318328,-1.0,362,"1,2",0.24,0.0,1.51,126.36,NC_002505,-2249355,-2248903,NC_002505,106073,106157
U3.VC1533 -> VC1532,VC1532,Vssrna24,Vssrna24,gene,srna,0.0,-1.0,358,"1,2",3.2,0.0,32.98,209.52,NC_002505,-1645598,-1645529,NC_002505,106482,106514
infB,infB,VqmR,VqmR,gene,srna,0.12383177570093458,-1.0,354,"1,2",0.64,0.000333089,0.97,4.87,NC_002505,685617,686098,NC_002506,1031450,1031563
VC2387,VC2387,Spot42,Spot42,gene,srna,0.16466739367502725,-1.0,352,"1,2",1.01,0.9374574719,12.41,127.63,NC_002505,2552507,2552591,NC_002505,106084,106157
VC2271,VC2271,Vcr017,Vcr017,gene,srna,0.5830363506771205,-1.0,349,1,19.65,0.0,2.87,16.38,NC_002505,-2425583,-2425330,NC_002505,-350337,-350279
Qrr1,Qrr1,IG.VC2646|VC2647 -> U5.VC2647,VC2647,srna,gene,-1.0,0.0,342,"1,2",1.31,0.0001324989,10.03,101.7,NC_002505,-1090028,-1090014,NC_002505,2821309,2821498
IG.VCA0942|VCA0946 -> VCA0946,Vcr229,VCA0946 -> U3.VCA0946,VCA0946,srna,gene,-1.0,0.6263194933145672,333,"1,2",1.19,0.0002102727,24.25,3.12,NC_002506,897525,897990,NC_002506,898805,898999
VCA0952 -> U3.VCA0952,VCA0952,TfoR,TfoR,gene,srna,0.4702258726899384,-1.0,331,"1,2",21.71,0.0,4.17,81.16,NC_002506,-901593,-901401,NC_002505,2236603,2236684
IG.VCA0821|VCA0829 -> Qrr3,Qrr3,IG.VC2646|VC2647 -> U5.VC2647,VC2647,srna,gene,-1.0,0.0,325,2,2.41,0.0,25.88,95.68,NC_002506,772257,772284,NC_002505,2821337,2821477
U3.prpB -> U5.VC1337,VC1337,Spot42,Spot42,gene,srna,0.0,-1.0,318,"1,2",1.46,1.0e-10,83.77,130.25,NC_002505,1420707,1420799,NC_002505,106100,106158
U5.glpK -> U3.VCA0745,VCA0745,Spot42,Spot42,gene,srna,0.6874458874458874,-1.0,316,"1,2",9.77,0.0,8.59,130.25,NC_002506,-689696,-689602,NC_002505,106107,106155
VC2064 -> U3.VC2064,VC2064,Vcr090,Vcr090,gene,srna,0.5093228655544652,-1.0,313,"1,2",4.64,0.0,2.35,9.03,NC_002505,-2220184,-2219900,NC_002506,3214,3255
VC0706 -> U3.VC0706,Vcr034,Qrr2,Qrr2,srna,srna,-1.0,-1.0,311,"1,2",0.6,0.0,1.62,6.09,NC_002505,-756582,-756209,NC_002506,48424,48529
IG.VC2753|VC2745,IG.VC2753|VC2745,Spot42,Spot42,igr,srna,0.27221636810677907,-1.0,306,1,0.75,0.0001082375,0.08,130.25,NC_002505,-2933643,-2933542,NC_002505,106102,106156
IG.VCA0942|VCA0946 -> U5.VCA0946,Vcr229,VCA0946 -> U3.VCA0946,VCA0946,srna,gene,-1.0,0.6263194933145672,288,"1,2",1.65,0.0,27.99,3.08,NC_002506,897525,897796,NC_002506,898805,898999
VC0033 -> U3.VC0033,VC0033,Qrr1,Qrr1,gene,srna,0.5861486486486487,-1.0,282,"1,2",11.25,0.0,16.16,13.94,NC_002505,32468,32571,NC_002505,-1090028,-1089969
U3.VC0900 -> VC0899,VC0899,Vcr043,Vcr043,gene,srna,0.0,-1.0,281,"1,2",0.73,0.2466508947,2.12,83.06,NC_002505,-958699,-958510,NC_002505,1114602,1114723
U5.VCA0026 -> VCA0026,VCA0026,TfoR,TfoR,gene,srna,0.0,-1.0,280,"1,2",7.74,0.0,1.68,81.16,NC_002506,-32685,-32310,NC_002505,2236604,2236685
U5.pdhR -> pdhR,pdhR,Vcr076,Vcr076,gene,srna,0.0,-1.0,278,"1,2",1.52,0.0,4.35,94.09,NC_002505,-2588394,-2588301,NC_002505,-2266082,-2266018
U5.VC0648 -> VC0648,VC0648,GcvB,GcvB,gene,srna,0.0,-1.0,273,"1,2",95.17,0.0,0.81,11.67,NC_002505,692443,692573,NC_002505,-954799,-954722
U5.VC1141 -> VC1141,VC1141,Spot42,Spot42,gene,srna,0.0,-1.0,266,"1,2",0.59,0.0109010692,1.59,128.92,NC_002505,1209505,1209799,NC_002505,106084,106157
Vcr043,Vcr043,U3.VC0731,VC0731,srna,gene,-1.0,0.6121343445287107,266,2,0.77,3.09215e-5,69.56,5.12,NC_002505,1114590,1114691,NC_002505,-786599,-786549
U3.VCA0180 -> VCA0181,VCA0181,VqmR,VqmR,gene,srna,0.0,-1.0,264,"1,2",0.99,0.8071554666,59.02,4.89,NC_002506,199334,199598,NC_002506,1031475,1031564
U5.VCA0160 -> U3.tnaA,tnaA,Spot42,Spot42,gene,srna,0.7665890570430733,-1.0,262,"1,2",7.29,0.0,31.76,130.25,NC_002506,-178499,-178407,NC_002505,106120,106153
VC0244,VC0244,Spot42,Spot42,gene,srna,0.38987883107626514,-1.0,261,1,1.54,3.0e-8,0.79,130.25,NC_002505,251107,251198,NC_002505,106100,106159
tolB -> VC1835,tolB,VrrA,VrrA,gene,srna,0.7082324455205811,-1.0,257,"1,2",12.31,0.0,0.19,44.64,NC_002505,-1977394,-1976902,NC_002505,1878711,1878794
U5.VC2361 -> VC2361,VC2361,Vcr043,Vcr043,gene,srna,0.0,-1.0,251,"1,2",0.68,2.5381e-6,0.74,73.76,NC_002505,2517074,2517288,NC_002505,1114607,1114721
VC1479,Vcr062,Vcr090,Vcr090,srna,srna,-1.0,-1.0,250,1,0.74,8.231e-7,35.35,9.03,NC_002505,-1585597,-1585401,NC_002506,3204,3254
U5.sdhC -> sdhC,sdhC,Vcr043,Vcr043,gene,srna,0.0,-1.0,246,"1,2",1.23,0.0058142423,8.3,38.81,NC_002505,-2252797,-2252705,NC_002505,1114605,1114720
Vcr089,Vcr089,IG.VC0158|VC0162,IG.VC0158|VC0162,srna,igr,-1.0,0.3748938579111237,244,1,2.25,0.0,61.63,0.13,NC_002505,-2812133,-2812116,NC_002505,152837,152910
VC1077,VC1077,TfoR,TfoR,gene,srna,0.0901015228426396,-1.0,244,"1,2",5.87,0.0,1.24,81.16,NC_002505,-1145896,-1145629,NC_002505,2236611,2236682
MicX,MicX,U5.VC0620 -> VC0620,VC0620,srna,gene,-1.0,0.0,239,"1,2",4.33,0.0,65.8,3.58,NC_002506,-893465,-893320,NC_002505,-657369,-657300
U5.VC2550 -> VC2550,VC2550,Vcr076,Vcr076,gene,srna,0.0,-1.0,238,"1,2",0.47,0.8960911037,5.33,94.09,NC_002505,2733401,2733690,NC_002505,-2266087,-2266021
U5.VC2013 -> VC2013,VC2013,U3.VCA0543 -> Vcr227,Vcr227,gene,srna,0.0,-1.0,235,"1,2",1.6,0.0,2.08,82.96,NC_002505,-2168159,-2168027,NC_002506,479953,479992
U5.VC0186 -> VC0186,VC0186,Vcr043,Vcr043,gene,srna,0.0,-1.0,230,"1,2",0.61,0.0074260559,1.1,73.76,NC_002505,-190898,-190606,NC_002505,1114608,1114720
GcvB,GcvB,Vcr216 -> VC2362,Vcr216,srna,srna,-1.0,-1.0,228,"1,2",23.91,0.0,5.96,6.63,NC_002505,-954885,-954811,NC_002505,-2518898,-2518719
IG.VC1034|VC1037,IG.VC1034|VC1037,Vcr082,Vcr082,igr,srna,0.30538131396500495,-1.0,226,"1,2",22.16,0.0,12.82,226.84,NC_002505,1102202,1102286,NC_002505,-2433449,-2433392
Vcr002 -> VC0031,Vcr002,GcvB,GcvB,srna,srna,-1.0,-1.0,223,"1,2",1.52,0.0,0.4,9.67,NC_002505,-29873,-29533,NC_002505,-954882,-954724
IG.secG|VC0641 -> U5.VC0641,VC0641,U3.VCA0543 -> Vcr227,Vcr227,gene,srna,0.0,-1.0,221,"1,2",11.85,0.0,0.14,82.96,NC_002505,683145,683266,NC_002506,479952,479995
VC0249,VC0249,VqmR,VqmR,gene,srna,0.49271137026239065,-1.0,220,"1,2",1.66,0.0,2.28,4.98,NC_002505,255601,255896,NC_002506,1031501,1031559
U5.VC2730,VC2731,Vcr214,Vcr214,gene,srna,0.7210526315789474,-1.0,218,"1,2",189.16,0.0,3.01,9.56,NC_002505,-2902453,-2902407,NC_002505,2376054,2376112
U3.VC0038 -> VC0037,VC0037,Vcr043,Vcr043,gene,srna,0.0,-1.0,218,"1,2",1.12,0.0921474399,2.12,83.06,NC_002505,-36459,-36307,NC_002505,1114601,1114721
VC2064,VC2064,Vcr090,Vcr090,gene,srna,0.4111874386653582,-1.0,218,"1,2",4.55,0.0,1.83,9.03,NC_002505,-2220283,-2219924,NC_002506,3208,3255
U3.VC1920 -> VC1919,VC1919,Vcr064,Vcr064,gene,srna,0.0,-1.0,217,"1,2",19.3,0.0,0.61,12.86,NC_002505,-2069312,-2069042,NC_002505,-1595778,-1595734
cyaA,cyaA,Vcr090,Vcr090,gene,srna,0.04450724125750618,-1.0,212,"1,2",2.15,0.0,0.68,9.03,NC_002505,116119,116497,NC_002506,3208,3257
VC1905,VC1905,Spot42,Spot42,gene,srna,0.11446629213483146,-1.0,212,1,0.14,0.0,1.52,130.25,NC_002505,2055600,2056089,NC_002505,106104,106157
VC2348 -> U3.VC2348,VC2348,Vcr017,Vcr017,gene,srna,0.7072368421052632,-1.0,212,2,24.14,0.0,1.89,14.41,NC_002505,-2504472,-2504315,NC_002505,-350294,-350276
ligA -> IG.ligA|VC0972,ligA,Spot42,Spot42,gene,srna,0.8371589432654829,-1.0,210,"1,2",0.23,0.0001345131,6.02,129.36,NC_002505,1037235,1037433,NC_002505,106086,106153
VC2013,VC2013,Vcr082,Vcr082,gene,srna,0.0,-1.0,210,"1,2",1.12,0.0939055513,2.11,197.6,NC_002505,-2168145,-2168000,NC_002505,-2433564,-2433390
VC0653,VC0653,Qrr1,Qrr1,gene,srna,0.17204757858963465,-1.0,209,1,33.42,0.0,4.85,13.94,NC_002505,-698898,-698811,NC_002505,-1090028,-1089970
U5.VC1449 -> VC1449,VC1449,TfoR,TfoR,gene,srna,0.0,-1.0,206,"1,2",7.13,0.0,1.79,81.16,NC_002505,1549162,1549573,NC_002505,2236608,2236678
era,era,Spot42,Spot42,gene,srna,0.5074393108848865,-1.0,202,"1,2",0.92,0.4934367497,1.67,130.25,NC_002505,-2642796,-2642602,NC_002505,106100,106158
VC0706 -> U3.VC0706,Vcr034,VC0025 -> Vcr001,Vcr001,srna,srna,-1.0,-1.0,201,1,0.76,4.464e-5,1.54,22.17,NC_002505,-756496,-756212,NC_002505,21847,21909
VC2355,VC2355,Vcr043,Vcr043,gene,srna,0.01863932898415657,-1.0,201,"1,2",0.72,0.0005631625,2.02,60.24,NC_002505,-2511699,-2511328,NC_002505,1114600,1114720
Vcr067,Vcr067,TfoR,TfoR,srna,srna,-1.0,-1.0,199,"1,2",2.17,0.0,3.15,81.16,NC_002505,1801902,1802074,NC_002505,2236602,2236677
U5.VC0428 -> VC0428,VC0428,TfoR,TfoR,gene,srna,0.0,-1.0,198,"1,2",2.64,0.0,0.33,80.45,NC_002505,-457296,-457033,NC_002505,2236580,2236675
VC0305,VC0305,VqmR,VqmR,gene,srna,0.5563118811881188,-1.0,196,"1,2",7.61,0.0,1.49,4.84,NC_002505,-316694,-316528,NC_002506,1031478,1031559
U5.VC1898 -> VC1898,VC1898,Vssrna24,Vssrna24,gene,srna,0.0,-1.0,194,"1,2",3.71,0.0,8.4,209.52,NC_002505,2044443,2044498,NC_002505,106495,106510
VCA0952,VCA0952,TfoR,TfoR,gene,srna,0.324435318275154,-1.0,191,1,17.76,0.0,3.64,81.16,NC_002506,-901768,-901500,NC_002505,2236603,2236684
yajC -> U3.yajC,yajC,Spot42,Spot42,gene,srna,0.2958860759493671,-1.0,190,1,1.39,0.0026375493,0.25,130.25,NC_002505,795701,795942,NC_002505,106137,106155
VC0269,VC0269,TfoR,TfoR,gene,srna,0.07938625750500333,-1.0,188,"1,2",34.65,0.0,2.88,81.16,NC_002505,274700,274856,NC_002505,2236626,2236682
fliA -> U5.VC2064,VC2065,Vcr090,Vcr090,gene,srna,0.01878612716763006,-1.0,188,"1,2",2.59,0.0,0.61,9.03,NC_002505,-2221269,-2220723,NC_002506,3204,3257
U3.VC1920 -> VC1919,VC1919,Vcr082,Vcr082,gene,srna,0.0,-1.0,186,"1,2",2.74,0.0,0.84,272.64,NC_002505,-2069245,-2069127,NC_002505,-2433485,-2433393
IG.VC1034|VC1037,IG.VC1034|VC1037,Vssrna24,Vssrna24,igr,srna,0.30406074612083195,-1.0,185,1,0.67,4.74e-8,12.82,209.52,NC_002505,1102203,1102278,NC_002505,106487,106508
GcvB,GcvB,VC0162 -> Vcr008,Vcr008,srna,srna,-1.0,-1.0,184,"1,2",25.06,0.0,5.96,1.68,NC_002505,-954899,-954803,NC_002505,158915,158981
U3.VC0706 -> Vcr034,Vcr034,TfoR,TfoR,srna,srna,-1.0,-1.0,182,"1,2",1.93,0.0,3.23,80.1,NC_002505,-756199,-756023,NC_002505,2236590,2236679
IG.VC2646|VC2647 -> U5.VC2647,VC2647,Qrr4,Qrr4,gene,srna,0.0,-1.0,180,"1,2",3.05,0.0,91.28,12.74,NC_002505,2821312,2821399,NC_002506,-908280,-908204
U5.secG,secG,Vcr043,Vcr043,gene,srna,0.0,-1.0,178,"1,2",1.67,5.83e-8,0.55,38.81,NC_002505,682460,682578,NC_002505,1114606,1114697
U5.VCA0059 -> U3.VCA0059,VCA0059,VrrA,VrrA,gene,srna,0.0,-1.0,178,"1,2",2.98,0.0,0.15,44.64,NC_002506,-66808,-66501,NC_002505,1878712,1878797
U5.VCA0970 -> VCA0970,VCA0970,GcvB,GcvB,gene,srna,0.0,-1.0,178,2,262.34,0.0,5.16,9.67,NC_002506,-917393,-917310,NC_002505,-954762,-954719
Vcr089,Vcr089,IG.VC0386|metH,IG.VC0386|metH,srna,igr,-1.0,0.30345285524568394,176,"1,2",2.47,0.0,61.63,0.2,NC_002505,-2812133,-2812117,NC_002505,403605,403681
U5.cyaA -> cyaA,cyaA,U3.VCA0543 -> Vcr227,Vcr227,gene,srna,0.0,-1.0,176,"1,2",1.13,0.2593562026,3.67,82.96,NC_002505,115921,116092,NC_002506,479946,479994
