name1,gene1,name2,gene2,type1,type2,relpos1,relpos2,nb_fragments,libs,norm_odds,p_value,ip_total_ratio1,ip_total_ratio2,chromosome1,first_start1,last_start1,chromosome2,first_start2,last_start2
VC0998,VC0998,VC0998 -> U5.truA,VC0998,gene,gene,0.6782187802516941,0.8917715392061956,146,"1,2",5.56,0.0,15.64,12.71,NC_002505,1068400,1068860,NC_002505,1069600,1069869
secA,secA,secA -> U5.VC2392,secA,gene,gene,0.2779807372965792,0.8492195283958818,144,1,14.13,0.0,2.85,5.92,NC_002505,-2562876,-2561351,NC_002505,-2560443,-2560344
U5.engA -> engA,engA,engA,engA,gene,gene,0.034192825112107625,0.7180493273542601,142,1,18.48,0.0,2.09,5.4,NC_002505,815508,815971,NC_002505,816909,817012
IG.VC0711|VC0713 -> VC0713,VC0713,IG.VC0386|metH,IG.VC0386|metH,gene,igr,0.0,0.038114209827357234,140,"1,2",9.98,0.0,0.35,0.27,NC_002505,762427,762774,NC_002505,401541,401748
Vcr076,Vcr076,VC2627,VC2627,srna,gene,-1.0,0.3154929577464789,137,1,206.35,0.0,1.81,1.94,NC_002505,-2266091,-2266017,NC_002505,-2798609,-2798551
VC0329,VC0329,VC0329,VC0329,gene,gene,0.8421753607103218,0.5753607103218646,136,"1,2",3.72,0.0,1.74,1.92,NC_002505,348200,348696,NC_002505,346901,347585
VC0647 -> U5.VC0648,VC0647,U5.VC0647 -> VC0647,Vcr032,gene,srna,0.599011939069576,-1.0,136,"1,2",1.16,0.0339814822,2.59,2.43,NC_002505,691315,692385,NC_002505,690214,691276
IG.fre|murB,IG.fre|murB,VC2753 -> U3.VC2753,VC2753,igr,gene,0.02440599173553719,0.0,133,1,1.85,2.0e-10,0.27,0.25,NC_002505,323810,323989,NC_002505,-2939278,-2939115
VC2033 -> U3.VC2033,VC2033,U5.sspA -> Vcr203,Vcr203,gene,srna,0.8310991957104558,-1.0,133,2,11.72,0.0,3.12,1.42,NC_002505,-2187785,-2187560,NC_002505,606828,606883
IG.VC2497|VC2489,IG.VC2497|VC2489,VC0059 -> U3.VC0059,VC0059,igr,gene,0.013866576477551365,0.020454545454545454,132,"1,2",2.14,0.0,0.33,0.22,NC_002505,-2681707,-2681426,NC_002505,53614,53785
VC0059 -> U3.VC0059,VC0059,IG.VC2497|VC2489,IG.VC2497|VC2489,gene,igr,0.0,0.018770609622051238,130,"1,2",5.05,0.0,0.3,0.26,NC_002505,53500,53698,NC_002505,-2681595,-2681502
U5.VC0647 -> VC0647,Vcr032,VC0647,VC0647,srna,gene,-1.0,0.5607245780156443,130,"1,2",1.01,0.8673724082,2.18,2.66,NC_002505,690210,691295,NC_002505,691221,692387
VC2753 -> IG.VC2753|VC2745,VC2753,IG.fre|murB,IG.fre|murB,gene,igr,0.07045454545454545,0.041580578512396695,128,"1,2",1.83,0.0,0.28,0.23,NC_002505,-2939242,-2939008,NC_002505,323942,324129
IG.VC2497|VC2489,IG.VC2497|VC2489,IG.VC0386|metH,IG.VC0386|metH,igr,igr,0.01268284433922381,0.02802124833997344,125,"1,2",4.06,0.0,0.33,0.26,NC_002505,-2681703,-2681535,NC_002505,401539,401599
VC0059 -> IG.VC0059|ccrB,VC0059,U5.VC0713 -> VC0713,VC0713,gene,gene,0.029545454545454545,0.0,124,"1,2",2.26,0.0,0.28,0.31,NC_002505,53523,53797,NC_002505,762518,762764
IG.emrD|VCA0213 -> VCA0213,VCA0213,VCA0213 -> U3.VCA0213,VCA0213,gene,gene,0.0,0.7072525145579672,124,1,6.6,0.0,1.1,16.4,NC_002506,-232296,-231606,NC_002506,-230698,-230437
VC0350 -> U5.VC0351,VC0350,VC0349,VC0349,gene,gene,0.4859375,0.40484196368527237,124,"1,2",0.78,0.1760477381,4.25,2.12,NC_002505,373321,373982,NC_002505,372100,372960
VC0329,VC0329,VC0329 -> U3.VC0329,VC0329,gene,gene,0.5749167591564928,0.8568257491675916,124,"1,2",2.79,0.0,1.6,1.63,NC_002505,346803,347692,NC_002505,348305,348727
FlaX,FlaX,U5.VC2142 -> VC2142,Vcr077,srna,srna,-1.0,-1.0,122,"1,2",10.4,0.0,5.47,4.58,NC_002505,-2334648,-2334436,NC_002505,-2297476,-2297403
mukB,mukB,mukB -> U3.mukB,mukB,gene,gene,0.5627225130890052,0.9099476439790576,120,2,6.93,0.0,3.38,3.52,NC_002505,-1851494,-1850140,NC_002505,-1849199,-1849119
VC0647,Vcr032,VC0647 -> U5.VC0648,VC0647,srna,gene,-1.0,0.6986414162206669,119,"1,2",1.19,0.0249059284,2.28,2.39,NC_002505,690317,691295,NC_002505,691800,692387
IG.fre|murB,IG.fre|murB,U3.VC2753,VC2753,igr,gene,0.02427685950413223,0.05909090909090909,118,2,4.38,0.0,0.26,0.25,NC_002505,323810,323988,NC_002505,-2939162,-2939100
VC0059 -> IG.VC0059|ccrB,VC0059,IG.VC0386|metH,IG.VC0386|metH,gene,igr,0.031818181818181815,0.03691899070385126,116,"1,2",2.93,0.0,0.28,0.27,NC_002505,53523,53798,NC_002505,401539,401731
IG.VC0711|VC0713 -> VC0713,VC0713,VC0059 -> IG.VC0059|ccrB,VC0059,gene,gene,0.0,0.16136363636363638,114,"1,2",8.41,0.0,0.35,0.22,NC_002505,762427,762774,NC_002505,53618,53822
VC2030,VC2030,VC2030 -> U3.VC2030,VC2030,gene,gene,0.4181607865818392,0.8473105841526894,114,1,6.71,0.0,1.56,1.7,NC_002505,2182501,2183579,NC_002505,2184428,2184621
VC2342,VC2342,VC2342 -> U3.VC2342,VC2342,gene,gene,0.051110180142438205,0.6501885211562631,113,1,2.26,0.0,1.08,1.05,NC_002505,-2497422,-2497000,NC_002505,-2496190,-2495372
Vcr017,Vcr017,VC2033 -> U3.VC2033,VC2033,srna,gene,-1.0,0.8478552278820375,112,"1,2",17.71,0.0,3.85,4.44,NC_002505,-350330,-350300,NC_002505,-2187696,-2187562
mukB,mukB,mukB -> U3.mukB,mukB,gene,gene,0.6682722513089006,0.890261780104712,108,1,14.15,0.0,6.17,6.93,NC_002505,-1850489,-1850137,NC_002505,-1849382,-1849124
cyaA,cyaA,cyaA -> U3.cyaA,cyaA,gene,gene,0.39632638643588836,0.7933592370187214,104,1,5.56,0.0,2.67,2.13,NC_002505,117103,117547,NC_002505,118307,118591
VC2187 -> Vcr078,Vcr078,U5.VC2187,VC2187,srna,gene,-1.0,0.0,102,"1,2",81.42,0.0,67.95,7.62,NC_002505,-2333131,-2332939,NC_002505,-2334177,-2334102
VC0487,VC0487,VC0487 -> U3.VC0487,VC0487,gene,gene,0.19559099437148217,0.7363977485928705,102,"1,2",3.68,0.0,2.93,7.46,NC_002505,517711,518233,NC_002505,519000,519250
VC0348 -> VC0349,VC0349,VC0350 -> U5.VC0351,VC0350,gene,gene,0.0,0.634375,101,2,2.36,0.0,1.73,3.01,NC_002505,371431,372299,NC_002505,373900,373965
IG.fre|murB,IG.fre|murB,IG.VC0386|metH,IG.VC0386|metH,igr,igr,0.022727272727272728,0.2613545816733068,97,"1,2",25.44,0.0,0.27,1.63,NC_002505,323810,323975,NC_002505,403301,403349
IG.fre|murB,IG.fre|murB,IG.fre|murB,IG.fre|murB,igr,igr,0.03137913223140496,0.2586518595041322,97,"1,2",13.34,0.0,0.26,1.57,NC_002505,323812,324096,NC_002505,325685,325744
Vcr203 -> sspA,Vcr203,U3.VC2033,VC2033,srna,gene,-1.0,0.8619302949061662,96,"1,2",2.9,0.0,1.2,6.74,NC_002505,606829,607092,NC_002505,-2187598,-2187562
VC0487 -> U3.VC0487,VC0487,VC0487,VC0487,gene,gene,0.650562851782364,0.1378986866791745,95,1,4.37,0.0,4.26,2.97,NC_002505,518612,519273,NC_002505,517506,518192
VC0059,VC0059,IG.fre|murB,IG.fre|murB,gene,igr,0.0,0.028538223140495866,95,2,25.79,0.0,0.36,0.21,NC_002505,53522,53593,NC_002505,323917,323948
VC0059,VC0059,IG.fre|murB,IG.fre|murB,gene,igr,0.0,0.030862603305785125,94,1,19.01,0.0,0.43,0.21,NC_002505,53523,53596,NC_002505,323942,323959
U3.VCA0165 -> VCA0166,VCA0166,VC2368,VC2368,gene,gene,0.0,0.0,93,1,14.08,0.0,0.54,1.51,NC_002506,184102,184385,NC_002505,2524603,2524652
secA,secA,U5.VC2392,secA,gene,gene,0.4247758219860511,0.8605114579873796,93,1,34.27,0.0,2.7,6.27,NC_002505,-2561994,-2561351,NC_002505,-2560376,-2560344
U5.VC0652 -> VC0652,VC0652,VC0651 -> U3.VC0651,VC0651,gene,gene,0.0,0.5679117147707979,92,"1,2",55.79,0.0,2.53,6.28,NC_002505,-697286,-697002,NC_002505,-695498,-695309
VC0998 -> U5.truA,VC0998,VC0998,VC0998,gene,gene,0.8724104549854792,0.5943852855759922,92,"1,2",2.5,0.0,11.75,9.93,NC_002505,1069414,1069855,NC_002505,1067706,1068689
trmD -> rplS,trmD,U5.rpsP -> U3.rpsP,rpsP,gene,gene,0.535953978906999,0.010948905109489052,92,"1,2",2.7,0.0,0.84,0.65,NC_002505,597432,598274,NC_002505,596200,596679
VC0059 -> IG.VC0059|ccrB,VC0059,U5.VC0713 -> VC0713,VC0713,gene,gene,0.1431818181818182,0.0,92,"1,2",1.44,0.0159655705,0.24,0.28,NC_002505,53524,53819,NC_002505,762518,762771
VC2033,VC2033,VC2033 -> U3.VC2033,VC2033,gene,gene,0.007372654155495978,0.7955764075067024,87,1,0.59,8.45e-8,1.14,3.85,NC_002505,-2190247,-2190013,NC_002505,-2187994,-2187563
U3.VCA0053,VCA0053,VC0633 -> U5.VC0632,VC0633,gene,gene,0.6544554455445545,0.665680473372781,86,"1,2",6.26,0.0,4.08,0.58,NC_002506,-61238,-61200,NC_002505,-674880,-674784
VC0059 -> IG.VC0059|ccrB,VC0059,IG.VC0386|metH,IG.VC0386|metH,gene,igr,0.1431818181818182,0.038114209827357234,86,"1,2",1.88,8.16316e-5,0.24,0.27,NC_002505,53523,53820,NC_002505,401539,401748
Vcr076,Vcr076,VC2627,VC2627,srna,gene,-1.0,0.3019718309859155,86,2,550.02,0.0,1.14,1.97,NC_002505,-2266091,-2266025,NC_002505,-2798609,-2798600
guaA,guaA,VC0767,VC0767,gene,gene,0.20615218564490015,0.2736009044657999,85,1,6.52,0.0,2.09,1.72,NC_002505,821642,822598,NC_002505,820021,821272
U3.VC0560 -> rpsP,rpsP,U3.trmD -> U3.rplS,rplS,gene,gene,0.0,0.11791730474732007,84,"1,2",5.29,0.0,0.66,0.86,NC_002505,596104,596366,NC_002505,598013,598299
VC0162,VC0162,IG.VC0158|VC0162,IG.VC0158|VC0162,gene,igr,0.20123318385650224,0.9319275403339937,83,1,7.63,0.0,2.17,1.93,NC_002505,157602,158298,NC_002505,156425,157194
VC1985,VC1985,VC1985 -> U5.VC1984,VC1985,gene,gene,0.146,0.7775,82,1,28.54,0.0,3.38,9.29,NC_002505,-2138651,-2138067,NC_002505,-2137151,-2137040
VC0487,VC0487,VC0486 -> VC0487,VC0487,gene,gene,0.5605065666041276,0.0,81,1,3.21,0.0,3.89,3.38,NC_002505,518427,519072,NC_002505,517303,517797
rplR -> rpsE,rpsE,rpsH,rpsH,gene,gene,0.0,0.08236994219653179,79,"1,2",3.17,0.0,0.74,0.69,NC_002505,-2756799,-2756500,NC_002505,-2757897,-2757810
VC2342,VC2342,VC2342,VC2342,gene,gene,0.7059069962295769,0.09761206535400084,74,1,2.35,2.0e-10,1.11,1.15,NC_002505,-2495789,-2495508,NC_002505,-2497399,-2496802
U5.engA -> engA,engA,engA -> U5.VC0764,engA,gene,gene,0.0,0.6468609865470852,74,2,19.63,0.0,1.73,2.77,NC_002505,815513,815764,NC_002505,816650,817016
IG.fre|murB,IG.fre|murB,U5.VC1840,VC1841,igr,gene,0.028538223140495866,0.3338735818476499,72,"1,2",54.64,0.0,0.27,4.03,NC_002505,323915,323963,NC_002505,-1981247,-1981209
IG.VC0158|VC0162,IG.VC0158|VC0162,IG.fre|murB,IG.fre|murB,igr,igr,0.10401924709878291,0.042484504132231406,72,"1,2",0.58,0.0496977181,0.23,0.24,NC_002505,150863,151056,NC_002505,323938,324143
VC0487,VC0487,VC0486 -> VC0487,VC0486,gene,gene,0.40431519699812385,0.49722735674676527,71,1,3.54,0.0,4.29,2.33,NC_002505,518135,518699,NC_002505,516914,517583
IG.VC2497|VC2489,IG.VC2497|VC2489,IG.fre|murB,IG.fre|murB,igr,igr,0.021729939967870128,0.040805785123966945,70,"1,2",0.68,0.5732929511,0.28,0.24,NC_002505,-2681597,-2681424,NC_002505,323933,324118
IG.VC0386|metH,IG.VC0386|metH,IG.fre|murB,IG.fre|murB,igr,igr,0.03718459495351926,0.04145144628099173,70,"1,2",1.53,0.003301371,0.27,0.24,NC_002505,401524,401750,NC_002505,323919,324144
cyaA,cyaA,cyaA,cyaA,gene,gene,0.7258919109855175,0.2567997174143412,70,"1,2",2.31,0.0,2.65,1.57,NC_002505,118019,118583,NC_002505,116606,117568
IG.fre|murB,IG.fre|murB,IG.VC2497|VC2489,IG.VC2497|VC2489,igr,igr,0.024793388429752067,0.018770609622051238,68,"1,2",3.1,0.0,0.27,0.26,NC_002505,323810,323999,NC_002505,-2681598,-2681501
cyaA -> U3.cyaA,cyaA,cyaA,cyaA,gene,gene,0.8120805369127517,0.4256446485340869,68,"1,2",13.65,0.0,1.78,3.26,NC_002505,118412,118591,NC_002505,117305,117568
IG.fre|murB,IG.fre|murB,IG.VC0158|VC0162,IG.VC0158|VC0162,igr,igr,0.04054752066115702,0.10486838380979338,68,"1,2",0.95,0.757022163,0.27,0.23,NC_002505,323905,324146,NC_002505,150853,151057
VC1866,VC1866,VC1866 -> U5.VC1867,VC1866,gene,gene,0.3385093167701863,0.78222049689441,68,1,1.9,2.4463e-6,0.96,1.3,NC_002505,2007809,2008143,NC_002505,2008989,2009249
IG.VC0386|metH,IG.VC0386|metH,IG.VC2497|VC2489,IG.VC2497|VC2489,igr,igr,0.026693227091633465,0.16732899298215947,67,1,16.96,0.0,0.31,0.43,NC_002505,401517,401598,NC_002505,-2679845,-2679737
VC0652,VC0652,VC0651 -> U3.VC0651,VC0651,gene,gene,0.4188880426504189,0.6129032258064516,66,"1,2",36.79,0.0,3.67,6.64,NC_002505,-696764,-696330,NC_002505,-695390,-695311
nusG -> rplK,rplK,rplL -> U3.rplL,rplL,gene,gene,0.0,0.17443609022556392,65,1,0.67,0.0007767516,0.63,1.37,NC_002505,337642,338096,NC_002505,339907,340161
VC0633 -> U5.VC0632,VC0633,U3.VCA0053 -> VCA0052,VCA0052,gene,gene,0.6642011834319527,0.0,63,"1,2",2.63,0.0,0.64,3.42,NC_002505,-674884,-674775,NC_002506,-61254,-61092
U3.trmD -> rplS,rplS,U5.rpsP -> rpsP,rpsP,gene,gene,0.06278713629402756,0.0,62,"1,2",4.91,0.0,0.75,0.67,NC_002505,597713,598267,NC_002505,596200,596674
VC0476 -> pgk,pgk,U3.pgk -> VC0478,VC0478,gene,gene,0.0,0.0,62,"1,2",2.1,4.48e-8,1.38,1.96,NC_002505,507803,508556,NC_002505,509235,509696
IG.fre|murB,IG.fre|murB,VC2342 -> U3.VC2342,VC2342,igr,gene,0.028538223140495866,0.8110599078341014,60,"1,2",8.12,0.0,0.27,1.29,NC_002505,323916,323954,NC_002505,-2495423,-2495369
rpsF -> VC0367,VC0367,VC0350 -> U5.VC0351,VC0350,gene,gene,0.0,0.640625,60,"1,2",3.04,1.0e-10,0.84,4.94,NC_002505,384555,384740,NC_002505,373919,373962
U3.VC2571 -> rplQ,rplQ,Vcr076,Vcr076,gene,srna,0.0,-1.0,58,"1,2",2.37,1.814e-6,0.69,1.74,NC_002505,-2751499,-2751302,NC_002505,-2266079,-2266025
VC2342,VC2342,VC2342 -> U3.VC2342,VC2342,gene,gene,0.12861332216170926,0.7737746124842899,58,"1,2",3.26,1.579e-7,1.19,1.25,NC_002505,-2497346,-2496706,NC_002505,-2495984,-2495372
secY,secY,rplO -> U3.rplO,rplO,gene,gene,0.6193390452876377,0.3978201634877384,57,"1,2",1.98,1.04388e-5,0.94,0.65,NC_002505,-2754596,-2754305,NC_002505,-2755997,-2755375
VqmR,VqmR,U3.rplJ -> rplL,rplL,srna,gene,-1.0,0.04962406015037594,57,1,1.08,0.6169618146,0.93,1.12,NC_002506,1031446,1031538,NC_002505,339803,340099
VCA0059 -> U3.VCA0059,VCA0059,VC0478,VC0478,gene,gene,0.0,0.07267441860465117,57,"1,2",0.66,0.0019599378,2.72,2.53,NC_002506,-66746,-66517,NC_002505,509519,509791
Qrr4,Qrr4,U5.VC0884 -> VC0884,CsrC,srna,srna,-1.0,-1.0,56,"1,2",2442.6,0.0,0.55,4.65,NC_002506,-908272,-908237,NC_002505,944316,944395
IG.fre|murB,IG.fre|murB,VC0059 -> IG.VC0059|ccrB,VC0059,igr,gene,0.03447830578512397,0.1590909090909091,56,"1,2",2.27,2.277e-7,0.27,0.22,NC_002505,323810,324143,NC_002505,53613,53819
VC2342,VC2342,VC2342,VC2342,gene,gene,0.7050691244239631,0.03393380812735652,56,1,2.9,0.0,1.13,1.28,NC_002505,-2495789,-2495510,NC_002505,-2497399,-2497106
VC0478,VC0478,pgk -> U3.pgk,pgk,gene,gene,0.5428779069767442,0.621786197564276,55,1,8.28,0.0,1.39,1.4,NC_002505,510210,510394,NC_002505,508943,509337
IG.emrD|VCA0213 -> U5.VCA0213,VCA0213,VCA0213 -> U3.VCA0213,VCA0213,gene,gene,0.0,0.6034939121228163,55,1,7.09,0.0,0.72,12.81,NC_002506,-232296,-232104,NC_002506,-231088,-230439
VC0428 -> U3.VC0428,VC0428,obgE -> Vcr022,Vcr022,gene,srna,0.39077340569877883,-1.0,54,"1,2",11.2,0.0,3.29,1.95,NC_002505,-456897,-456819,NC_002505,468152,468442
IG.VC0386|metH,IG.VC0386|metH,U3.VC2753,VC2753,igr,gene,0.02111553784860558,0.03636363636363636,54,1,2.94,0.0,0.3,0.25,NC_002505,401433,401598,NC_002505,-2939162,-2939120
IG.VC0158|VC0162,IG.VC0158|VC0162,IG.VC2753|VC2745,IG.VC2753|VC2745,igr,igr,0.09680158505519389,0.2822018164483918,54,"1,2",1.48,0.0141889744,0.21,0.27,NC_002505,150842,150985,NC_002505,-2933471,-2933300
pgk -> U3.pgk,pgk,VC0478 -> U3.VC0478,VC0478,gene,gene,0.3876860622462788,0.6133720930232558,53,1,2.15,1.0082e-6,1.47,1.16,NC_002505,508328,509260,NC_002505,510312,510486
VC1663 -> U3.VC1663,VC1663,TarB,TarB,gene,srna,0.37415881561238223,-1.0,52,"1,2",652.41,0.0,1.04,3.3,NC_002505,1795201,1795268,NC_002505,-911251,-911235
IG.fre|murB,IG.fre|murB,IG.VC0386|metH,IG.VC0386|metH,igr,igr,0.0409349173553719,0.037848605577689244,52,"1,2",3.01,9.0e-10,0.27,0.27,NC_002505,323915,324143,NC_002505,401539,401747
engA,engA,engA -> U5.VC0764,engA,gene,gene,0.03923766816143498,0.6468609865470852,52,2,18.26,0.0,2.17,2.78,NC_002505,815604,815894,NC_002505,816650,817016
IG.VC0386|metH,IG.VC0386|metH,IG.VC2497|VC2489,IG.VC2497|VC2489,igr,igr,0.26228419654714474,0.01302105352160311,51,"1,2",12.33,0.0,1.19,0.31,NC_002505,403313,403349,NC_002505,-2681684,-2681548
rplA -> U3.rplA,rplA,rplL -> U3.rplL,rplL,gene,gene,0.3336663336663337,0.17142857142857143,51,1,0.64,0.0007164622,0.56,1.37,NC_002505,338411,339042,NC_002505,339902,340162
